#{"t_start": 1786495278.9159775, "env_id": "None"}
r,l,t
-53.119751,144,2.527432
-46.172909,144,4.107317
-56.846258,144,5.73654
-43.751058,144,7.398835
-62.63867,144,9.053559
-60.755977,144,10.690121
-51.20087,144,12.323863
-45.170483,144,13.946783
-56.934012,144,15.605409
-46.499041,144,17.236111
-55.454754,144,18.870362
-52.408053,144,20.651394
-40.643301,144,22.523079
-56.086255,144,24.403276
-67.002843,144,27.187747
-53.253747,144,30.002484
-69.678525,144,32.833647
-67.415643,144,35.570988
-54.984506,144,38.389391
-55.154571,144,41.292865
-42.061771,144,44.184447
-59.290691,144,47.062392
-59.399556,144,49.901612
-43.014216,144,52.75307
-53.526178,144,55.481631
-48.089129,144,58.308081
-38.465783,144,61.363483
-60.851207,144,64.475423
-65.577461,144,67.507921
-68.921767,144,71.064021
-58.763144,144,74.909647
-45.747607,144,78.943629
-41.745649,144,82.749614
-53.541876,144,87.333144
-40.160601,144,90.736182
-45.899859,144,93.782641
-51.937855,144,98.282441
-56.733988,144,102.12253
-91.493157,144,106.998871
-60.510405,144,109.990546
-51.201787,144,113.272922
-44.134829,144,116.49891
-51.383998,144,120.502909
-49.505427,144,124.720283
-58.121419,144,127.879976
-49.772904,144,130.991492
-65.967033,144,135.186852
-48.77219,144,138.672152
-52.79902,144,141.752074
-40.089427,144,145.551712
-45.200792,144,149.742523
-58.185637,144,152.655475
-76.392913,144,155.537197
-56.124848,144,158.537512
-58.978003,144,161.80511
-53.102083,144,165.232163
-56.549886,144,169.073309
-50.66545,144,173.090027
-48.211156,144,177.066167
-60.018807,144,180.200333
-49.018262,144,184.073199
-51.791897,144,188.046655
-48.579805,144,191.336879
-50.216387,144,194.59478
-52.555043,144,197.791818
-48.787895,144,201.526929
-40.862707,144,206.08792
-58.082234,144,210.629375
-56.554156,144,216.780208
-54.048074,144,223.457067
-70.708025,144,228.564758
-44.872055,144,233.362911
-67.928128,144,237.743204
-49.672624,144,244.061713
-45.409597,144,248.216487
-53.255558,144,251.140096
-50.927859,144,254.260463
-54.603099,144,257.301589
-53.563233,144,260.290148
-61.342041,144,263.333411
-51.488062,144,266.486079
-52.803468,144,269.544071
-47.455374,144,273.231054
-60.099697,144,276.287443
-51.780785,144,279.329126
-45.994408,144,282.427028
-57.758922,144,285.777799
-57.737866,144,288.970863
-42.433866,144,291.791802
-42.780303,144,294.731132
-49.165891,144,297.672343
-35.814355,144,300.652783
-58.27751,144,303.648203
