#{"t_start": 1786480422.497421, "env_id": "None"}
r,l,t
-59.606384,144,4.676875
-102.39928,144,4.677532
-77.91858,144,6.675348
-79.61071,144,6.675382
-75.98058,144,8.695071
-66.28804,144,8.695104
-83.617,144,11.776429
-70.48343,144,11.776471
-58.471188,144,15.646188
-69.70121,144,15.646227
-73.4973,144,19.582631
-73.20292,144,19.582669
-62.452198,144,23.450574
-82.83713,144,23.450609
-70.95797,144,27.29657
-58.400497,144,27.296604
-70.474205,144,31.166083
-62.211567,144,31.166118
-80.58761,144,35.090441
-70.3245,144,35.090477
-86.859795,144,39.045551
-66.83364,144,39.045588
-74.06697,144,42.989412
-82.869675,144,42.989453
-60.419888,144,46.856509
-74.68253,144,46.856544
-61.156094,144,50.746291
-68.8313,144,50.746326
-71.22721,144,54.656849
-88.503235,144,54.656887
-65.86528,144,58.56803
-71.78801,144,58.568065
-74.4534,144,62.481128
-66.53954,144,62.481165
-66.08373,144,66.423522
-87.81673,144,66.423559
-73.82384,144,70.366529
-74.98525,144,70.366563
-78.96313,144,74.258143
-71.43478,144,74.258188
-68.20954,144,78.197643
-81.68051,144,78.197679
-95.94488,144,82.108154
-53.309406,144,82.108187
-84.14122,144,86.515632
-64.54097,144,86.515664
-73.05039,144,90.887913
-80.11987,144,90.887945
-90.63202,144,94.822626
-75.457596,144,94.822661
-64.84032,144,98.723342
-74.16316,144,98.723379
-54.900642,144,103.150165
-63.744995,144,103.150204
-72.34368,144,107.046229
-75.590065,144,107.04627
-75.96266,144,111.000664
-67.05162,144,111.000701
-68.93033,144,114.975752
-94.12807,144,114.975785
-49.251305,144,118.902482
-81.693146,144,118.902517
-57.59944,144,122.818186
-74.03206,144,122.818222
-69.9219,144,126.962148
-63.679226,144,126.962184
-52.280113,144,130.967117
-84.84557,144,130.967153
-82.961,144,134.958983
-63.06056,144,134.95902
-65.32227,144,138.917972
-66.98441,144,138.918007
-62.13186,144,142.890652
-66.3657,144,142.890689
-62.560177,144,146.863009
-63.018154,144,146.863048
-84.86394,144,150.87449
-54.756367,144,150.874525
-84.07767,144,154.885433
-60.227486,144,154.885469
-64.975395,144,158.90627
-96.763405,144,158.906307
-59.90068,144,162.915293
-66.106,144,162.915326
-73.22288,144,167.469995
-89.723625,144,167.470034
-61.10241,144,171.353198
-55.88499,144,171.353236
-76.766655,144,175.521099
-100.70648,144,175.521136
-89.572815,144,179.502746
-56.46712,144,179.502782
-66.24988,144,184.025612
-68.36761,144,184.02565
-90.51709,144,188.502888
-70.36486,144,188.502944
-80.67066,144,192.824026
-73.20986,144,192.824057
-69.636925,144,196.858724
-61.408543,144,196.858775
-74.79746,144,201.011326
-80.81496,144,201.011375
-59.997982,144,205.022214
-79.08953,144,205.022249
-59.999893,144,208.986766
-86.4639,144,208.986802
-83.020454,144,213.464113
-69.113434,144,213.464143
-69.24215,144,217.332904
-67.77195,144,217.33294
-61.80696,144,221.764725
-60.085194,144,221.764758
-64.260216,144,225.687439
-85.882095,144,225.687476
-68.77779,144,229.608313
-65.41687,144,229.608356
-86.89606,144,233.618122
-64.40488,144,233.618159
-75.09568,144,237.568203
-82.599014,144,237.568238
-73.58604,144,241.576985
-75.209335,144,241.577026
-75.59155,144,245.546706
-75.55609,144,245.546741
-62.747597,144,249.537457
-55.54287,144,249.537491
-85.96691,144,253.537889
-76.318016,144,253.537923
-67.54684,144,257.503068
-70.36521,144,257.503104
-68.63202,144,261.993198
-82.4698,144,261.993231
-68.283,144,265.93238
-70.96854,144,265.932415
-71.88846,144,270.399359
-67.27238,144,270.399396
-73.99566,144,274.328474
-81.57081,144,274.328517
-76.19414,144,278.352176
-63.170193,144,278.352211
-73.76987,144,282.340912
-66.29699,144,282.340947
-63.981117,144,286.295556
-72.89812,144,286.295593
-83.423874,144,290.794646
-67.101166,144,290.794684
-68.31005,144,294.745389
-76.919014,144,294.745425
-74.604126,144,299.362981
-70.45587,144,299.363017
-68.520935,144,303.36651
