#{"t_start": 1786427477.88224, "env_id": "None"}
r,l,t
-53.887422,144,2.484275
-50.467925,144,4.14013
-51.469408,144,5.770167
-67.055819,144,7.387641
-98.796917,144,9.038978
-103.181542,144,10.693941
-54.395291,144,12.376279
-73.965314,144,15.777627
-95.790819,144,19.234436
-69.778881,144,22.674434
-56.563606,144,26.151053
-63.62743,144,29.530378
-82.557029,144,32.661992
-72.169504,144,35.696328
-94.584398,144,38.513602
-81.649406,144,41.435554
-59.032555,144,44.320096
-54.591214,144,47.078963
-56.940901,144,50.447349
-55.679779,144,53.125003
-54.907335,144,55.916605
-75.282774,144,58.844168
-60.464478,144,62.954305
-70.775072,144,66.75875
-110.850859,144,70.829098
-75.997997,144,76.18301
-48.833481,144,79.230953
-75.728664,144,82.636723
-103.34627,144,85.972836
-101.016811,144,89.549348
-65.272016,144,93.211078
-62.832168,144,96.844027
-76.280761,144,100.49489
-87.148806,144,104.027202
-60.513925,144,106.922573
-92.207334,144,109.6575
-73.149406,144,112.406145
-56.757569,144,115.668041
-91.802704,144,118.758908
-56.785921,144,123.741031
-72.551331,144,126.977681
-64.726437,144,130.794689
-60.928341,144,133.822007
-60.525871,144,136.907424
-65.791008,144,139.917339
-69.060769,144,143.445756
-51.767204,144,146.42697
-93.230175,144,149.371692
-125.628106,144,153.221645
-82.498239,144,157.006374
-80.95406,144,161.251882
-95.207388,144,164.82268
-101.611524,144,167.98559
-76.43125,144,171.07661
-57.935276,144,174.055519
-92.698659,144,177.277833
-70.539242,144,180.836606
-57.592314,144,188.269782
-91.346948,144,194.72475
-63.793963,144,200.316897
-63.035592,144,204.72372
-58.887699,144,208.553782
-54.720781,144,212.824801
-83.987406,144,216.751054
-77.263185,144,221.158231
-84.622958,144,225.037421
-74.213305,144,228.9831
-95.360293,144,232.864124
-102.346103,144,236.653935
-90.74966,144,240.349664
-79.130665,144,244.078515
-61.800422,144,247.730335
-129.376519,144,251.729506
-87.059548,144,255.69267
-63.474555,144,259.345862
-93.416632,144,263.119187
-61.735469,144,266.806445
-63.171546,144,270.898817
-55.840957,144,274.592925
-48.149381,144,278.297722
-54.731575,144,281.982256
-68.245463,144,285.771448
-55.51253,144,289.370542
-102.654428,144,293.119431
-63.078755,144,296.804467
-69.531878,144,300.498068
-64.012404,144,304.330002
-57.934838,144,310.070844
-115.495399,144,314.299388
-71.261037,144,318.654687
-64.009737,144,322.412125
-61.450966,144,326.188233
-171.238962,144,330.121427
-86.793945,144,334.921674
-56.702076,144,338.988568
-76.664459,144,343.629168
-75.362266,144,347.700395
-62.67167,144,351.423691
-63.766473,144,355.085164
-52.488981,144,358.850639
-104.558258,144,362.607846
-71.608347,144,366.80232
-58.602783,144,370.465249
-58.858599,144,374.201583
-96.665796,144,377.92187
-68.752737,144,381.626387
-61.616014,144,385.866588
-116.381017,144,389.552693
-119.611169,144,393.284186
-106.802561,144,397.029395
-52.97198,144,400.719923
-90.871811,144,404.405346
-102.088019,144,408.163971
-90.744623,144,411.951053
-90.893765,144,415.680809
-81.027306,144,419.440646
-57.019719,144,423.193431
-63.92251,144,426.989793
-68.600819,144,430.715344
-56.78354,144,434.346125
-57.752936,144,438.040956
-80.080761,144,441.834774
-60.519838,144,445.566415
-81.426677,144,449.278194
-78.011239,144,452.963139
-112.520225,144,456.742084
-67.404675,144,460.472569
-89.509238,144,464.15883
-86.310925,144,467.992503
-82.913182,144,471.721341
-67.84261,144,475.432375
-70.792904,144,479.124195
-83.253129,144,482.885091
-84.570403,144,486.671597
-103.777628,144,490.587778
-76.724425,144,494.33309
-64.054047,144,498.01555
-47.905833,144,501.627849
-72.895852,144,505.304181
-96.305282,144,509.050347
-70.946581,144,512.819767
-63.523756,144,516.542778
-47.147043,144,520.179919
-73.136175,144,523.873267
-76.214293,144,527.601649
-88.561397,144,531.421413
-46.539339,144,535.123296
-65.737284,144,538.858952
-94.916057,144,542.576746
-66.742231,144,546.402002
-92.6492,144,550.16747
-85.42852,144,553.883134
-100.812651,144,557.5611
-69.801649,144,561.312894
-71.040493,144,564.996217
-87.824876,144,568.745739
-63.459531,144,572.44932
-56.623647,144,576.105004
-65.229315,144,579.780687
-59.728014,144,583.926754
-61.747397,144,587.598039
-77.820691,144,591.289824
-63.30559,144,594.95015
-87.235852,144,598.684849
-69.03281,144,602.379145
-71.619613,144,606.057181
-66.830002,144,609.738268
-77.974483,144,613.417603
-85.914562,144,617.13662
-71.658369,144,621.289431
-58.2742,144,624.993843
-66.254564,144,628.668977
-130.340125,144,632.396553
-112.973466,144,636.158982
-59.617824,144,639.943092
-79.676615,144,643.690681
-62.756486,144,647.419215
-59.458085,144,651.151677
-61.265848,144,654.905668
-53.03246,144,658.606454
-62.018528,144,662.321204
-69.482197,144,666.012661
-59.501813,144,669.708368
-70.838217,144,673.414949
-73.186308,144,677.102538
-67.755409,144,680.824438
-52.316364,144,684.472069
-69.306494,144,688.185972
-113.491312,144,691.954155
-67.153536,144,695.597739
-71.480726,144,699.368013
-64.370151,144,703.056676
-109.113777,144,706.890915
-91.403598,144,710.628115
-77.19435,144,714.35675
-87.259664,144,718.202618
-69.076927,144,722.031163
-55.593459,144,725.962407
-70.003444,144,729.760757
-62.890708,144,733.482074
-78.316307,144,737.200149
-64.348293,144,740.911698
-55.456172,144,744.601247
-68.91136,144,748.320351
-69.632104,144,751.970951
-80.527933,144,755.674032
-56.346975,144,759.386967
-67.497089,144,763.031696
-93.63562,144,766.702306
-80.370935,144,770.403609
-71.345415,144,774.060208
-78.320618,144,777.71492
-90.521605,144,781.471131
-95.363886,144,785.23534
-78.897428,144,788.98273
-86.820333,144,792.663038
-64.610747,144,796.359401
-54.510028,144,800.030135
-69.686515,144,804.106844
-50.141529,144,808.348609
-49.389761,144,812.515325
-54.808764,144,816.801291
-65.773405,144,820.471364
-78.346373,144,824.104571
-75.765185,144,827.799002
-81.73679,144,831.5196
-54.369527,144,835.149945
-53.200674,144,838.825585
-92.646217,144,842.540416
-84.899836,144,846.270588
-53.342765,144,849.939164
-101.334911,144,853.708163
-125.929128,144,857.460803
-78.16476,144,861.183759
-70.812223,144,864.880383
-86.430955,144,869.107086
-62.042589,144,872.828987
-54.176469,144,876.469609
-72.070388,144,880.194794
-45.502801,144,883.945891
-77.195068,144,887.673967
-82.484279,144,891.358523
-73.392722,144,895.032485
-73.870561,144,898.76243
-60.188081,144,902.439184
-84.589007,144,906.195764
-41.057807,144,909.849303
-76.421948,144,913.572469
-87.892646,144,917.311635
-73.631879,144,920.981944
-50.999735,144,924.70956
-61.062831,144,928.437404
-98.900791,144,932.207543
-97.844572,144,935.925315
-55.292163,144,939.651109
-69.061168,144,943.400359
-63.896352,144,947.126728
-37.983782,144,950.704266
-73.162927,144,954.432824
-57.318947,144,958.418209
-82.294512,144,962.66277
-55.172212,144,966.399238
-57.33733,144,970.077753
-59.42994,144,973.938748
-81.523201,144,977.63065
-57.832563,144,981.32344
-54.303514,144,985.025725
-85.232105,144,988.769697
-102.615359,144,992.485594
-125.474121,144,996.189495
-59.918169,144,999.818114
-81.738225,144,1003.520899
-107.778596,144,1007.228119
-75.326222,144,1010.951319
-97.638068,144,1014.672209
-89.257506,144,1018.394282
-54.260985,144,1022.501421
-50.293766,144,1026.169877
-72.291346,144,1029.860178
-60.832605,144,1033.537757
-51.664791,144,1037.207515
-64.474626,144,1040.839356
-58.217675,144,1044.505899
-74.571563,144,1048.250687
-74.335295,144,1051.944039
-110.447094,144,1055.736666
-51.580839,144,1059.409856
-105.67699,144,1063.14632
-106.490672,144,1066.903283
-91.478625,144,1070.620748
-108.958799,144,1074.366081
-67.726319,144,1078.079278
-131.260871,144,1081.947287
-72.091451,144,1085.671797
-62.001351,144,1089.375185
-81.432105,144,1093.097732
-71.688951,144,1096.76575
-59.248725,144,1100.433586
-88.081202,144,1104.118841
-57.4554,144,1107.766975
-51.389445,144,1111.408804
-50.074051,144,1115.122185
-65.05944,144,1118.77562
-89.866649,144,1122.520888
-66.213306,144,1126.19658
-106.223058,144,1129.964655
-47.490302,144,1133.602704
-78.733507,144,1137.274066
-88.016439,144,1141.023878
-78.556914,144,1144.739476
-50.632298,144,1148.416303
-72.227472,144,1152.099869
-102.414808,144,1155.887293
-102.417118,144,1159.614712
-63.852874,144,1163.350828
-70.423369,144,1167.045544
-60.399197,144,1170.791592
-63.064001,144,1174.481983
-60.265258,144,1178.236701
-42.199629,144,1181.939304
-40.988107,144,1185.600082
-66.285651,144,1189.26258
-41.8898,144,1192.889107
-92.459597,144,1196.595494
-62.146306,144,1200.275289
-67.334114,144,1203.957166
-49.825345,144,1207.645174
-80.957239,144,1211.315678
-107.730669,144,1215.046585
-90.961131,144,1218.782089
-67.942384,144,1222.473679
-91.59882,144,1226.234117
-126.97,144,1230.077996
-86.920178,144,1233.870769
-89.855866,144,1237.619265
-91.525124,144,1241.380147
-49.708269,144,1245.092583
-66.739793,144,1248.845206
-76.402526,144,1252.56149
-66.987797,144,1256.276175
-60.602694,144,1259.997608
-65.197194,144,1263.666052
-42.5063,144,1267.342211
-75.088205,144,1271.06803
-58.384042,144,1274.771783
-66.210112,144,1278.439298
-70.133656,144,1282.140341
-56.385875,144,1285.813079
-89.646625,144,1289.548353
-70.053565,144,1293.233425
-54.016436,144,1296.895218
-59.71472,144,1300.589795
-116.139959,144,1304.390238
-81.219566,144,1308.145922
-61.853668,144,1311.891606
-75.318763,144,1315.598823
-47.283426,144,1319.326286
-61.441817,144,1323.021114
-87.514937,144,1326.738959
-59.24149,144,1330.422917
-60.538217,144,1334.103323
-57.064024,144,1337.78353
-55.68213,144,1341.389291
-62.136519,144,1345.000129
-58.978234,144,1348.654702
-80.023586,144,1352.341354
-58.402826,144,1356.033577
-76.070109,144,1359.71791
-103.705699,144,1363.455348
-89.3909,144,1367.599105
-59.390439,144,1371.344538
-69.818193,144,1374.97572
-121.592737,144,1378.787139
-119.405968,144,1382.632183
-48.499338,144,1386.365754
-71.909464,144,1390.110116
-68.052744,144,1393.932152
-44.419947,144,1397.618448
-72.620545,144,1401.431016
-51.871906,144,1405.186596
-58.791408,144,1408.927031
-64.629358,144,1412.655963
-51.567144,144,1416.317151
-83.411436,144,1420.06723
-84.695291,144,1423.744811
-69.52516,144,1427.432542
-55.98838,144,1431.085319
-72.3236,144,1434.806727
-111.651603,144,1438.644497
-87.740909,144,1442.419966
-51.356013,144,1446.122424
-87.224155,144,1449.825281
-90.490138,144,1453.558301
-61.679365,144,1457.233812
-129.837199,144,1460.987789
-77.90195,144,1464.708012
-69.998739,144,1468.459163
-55.258477,144,1472.146509
-56.033872,144,1475.794113
-67.25118,144,1479.460198
-60.051982,144,1483.209542
-62.36907,144,1487.00785
-44.158373,144,1491.14485
-60.015671,144,1495.328302
-82.632938,144,1499.102541
-73.154391,144,1502.807522
-58.639517,144,1506.388083
-83.523301,144,1510.091236
-90.337573,144,1513.788785
-94.976893,144,1517.506359
-62.408595,144,1521.237254
-62.734433,144,1524.976669
-130.532105,144,1528.717673
-88.136754,144,1532.430892
-73.95766,144,1536.115185
-88.98115,144,1539.819987
-61.468485,144,1543.538569
-55.508897,144,1547.249055
-69.630814,144,1551.379932
-62.68338,144,1555.063511
-60.954429,144,1558.70624
-72.832598,144,1562.42317
-46.075818,144,1566.03005
-91.272275,144,1569.745069
-53.396919,144,1573.455182
-90.245896,144,1577.235972
-59.206867,144,1580.946084
-67.328242,144,1584.638022
-99.634793,144,1588.459214
-71.150472,144,1592.234633
-66.834487,144,1595.954668
-66.466928,144,1599.665599
-93.395877,144,1603.415379
-127.401625,144,1607.27068
-61.985301,144,1611.079581
-73.731513,144,1614.825797
-69.597832,144,1618.526368
-60.280556,144,1622.26306
-63.125855,144,1625.942835
-59.653769,144,1629.580197
-63.839132,144,1633.343375
-58.095103,144,1637.00269
-57.11224,144,1640.619662
-68.811715,144,1644.31663
-82.202065,144,1647.992011
-67.329414,144,1651.658412
-50.355968,144,1655.311121
-80.284021,144,1658.965973
-97.376411,144,1662.73331
-86.9484,144,1666.404608
-86.272399,144,1670.073449
-75.175027,144,1673.793896
-117.625911,144,1677.547791
-65.165377,144,1681.338182
-82.74012,144,1685.082665
-81.085716,144,1688.796444
-75.84034,144,1692.535378
-74.29238,144,1696.239337
-71.436631,144,1699.905825
-54.242656,144,1703.565416
-52.047271,144,1707.218104
-57.799344,144,1710.874548
-75.371553,144,1714.538254
-77.027635,144,1718.330685
-76.826953,144,1722.004222
-85.840161,144,1725.742875
-61.03687,144,1729.433983
-63.889484,144,1733.093845
-101.516168,144,1736.768637
-104.068883,144,1740.544367
-72.551561,144,1744.282721
-94.438683,144,1748.083417
-88.279016,144,1751.885306
-62.518339,144,1755.588463
-68.086696,144,1759.335903
-75.542876,144,1763.088515
-57.276928,144,1766.782207
-50.886015,144,1770.52167
-59.05411,144,1774.156553
-58.015148,144,1777.836125
-68.917835,144,1781.532366
-53.869079,144,1785.223778
-70.310919,144,1788.908627
-85.490417,144,1792.64123
-65.252358,144,1796.339884
-69.737431,144,1800.011464
-66.229202,144,1803.710077
-75.31231,144,1807.425611
-80.98979,144,1811.158749
-58.832337,144,1814.817431
-57.343732,144,1818.494426
-65.825341,144,1822.212732
-120.182018,144,1825.967895
-84.954811,144,1829.676626
-67.348914,144,1833.373414
-80.87204,144,1837.13622
-54.796837,144,1840.800649
-65.439316,144,1844.505162
-54.380913,144,1848.184427
-65.823685,144,1851.849284
-57.284336,144,1855.546515
-61.150419,144,1859.275426
-46.647834,144,1862.916286
-68.065052,144,1866.562072
-45.545225,144,1870.14365
-85.657629,144,1873.807789
-51.787925,144,1877.43844
-86.437526,144,1881.077296
-84.022158,144,1884.825875
-74.352791,144,1888.574488
-51.053578,144,1892.245454
-65.529634,144,1895.964139
-85.652789,144,1899.695527
-80.747285,144,1903.443653
-89.776538,144,1907.21975
-83.945703,144,1910.962103
-63.933934,144,1914.656694
-51.280698,144,1918.309229
-55.028441,144,1921.989918
-57.920533,144,1925.773911
-57.839908,144,1929.455782
-57.995567,144,1933.174809
-39.84864,144,1936.839653
-82.371721,144,1940.558569
-96.722576,144,1944.28334
-65.21398,144,1947.952359
-59.984659,144,1951.616281
-86.549596,144,1955.375183
-112.093811,144,1959.161655
-78.280395,144,1962.811032
-67.290353,144,1966.590685
-137.536227,144,1970.384907
-96.232311,144,1974.145433
-86.142982,144,1977.886957
-62.997864,144,1981.634749
-100.578785,144,1985.469738
-56.310843,144,1989.283048
-55.077276,144,1993.00508
-78.941731,144,1996.738521
-57.057463,144,2000.431253
-41.924808,144,2004.168603
-53.543099,144,2007.879274
-45.376528,144,2011.574339
-74.092546,144,2015.240494
-61.691143,144,2018.914433
-78.374345,144,2022.663728
-87.592694,144,2026.407552
-53.872071,144,2030.054728
-95.707278,144,2033.828913
-111.560098,144,2037.557168
-50.117424,144,2041.280866
-61.608949,144,2044.903555
-98.187405,144,2048.652889
-133.922278,144,2052.441749
-91.500943,144,2056.160315
-70.634899,144,2059.878094
-54.899207,144,2063.566401
-66.924975,144,2067.249602
-55.731802,144,2070.927664
-57.575538,144,2074.603211
-60.656703,144,2078.777037
-59.102621,144,2082.477445
-66.363777,144,2086.180567
-77.445659,144,2089.890461
-77.028483,144,2093.604132
-63.979958,144,2097.307049
-52.273266,144,2100.987247
-76.777182,144,2104.673393
-92.368288,144,2108.41959
-63.126344,144,2112.629535
-59.021055,144,2116.340113
-82.582903,144,2120.018858
-80.874562,144,2123.724923
-77.126251,144,2127.410041
-124.059395,144,2131.211141
-101.983084,144,2134.93842
-69.92908,144,2138.656219
-55.383986,144,2142.372599
-65.077765,144,2146.113827
-51.140319,144,2149.767961
-49.447997,144,2153.419972
-63.487215,144,2157.156214
-52.553188,144,2160.832854
-100.107678,144,2164.569858
-101.631199,144,2168.292968
-92.254471,144,2171.987382
-52.819348,144,2175.634408
-53.560929,144,2179.269325
-108.914119,144,2183.034623
-70.483696,144,2186.773218
-53.86388,144,2190.475121
-132.802275,144,2194.233002
-93.670096,144,2197.979636
-91.035154,144,2201.746599
-84.781228,144,2205.43766
-96.66301,144,2209.202404
-60.049516,144,2212.90775
-50.605072,144,2216.576761
-67.276838,144,2220.21816
-48.999684,144,2223.88856
-74.345532,144,2227.587069
-60.241354,144,2231.260373
-51.859751,144,2234.869481
-68.138237,144,2238.597474
-57.830848,144,2242.254138
-72.77336,144,2245.996913
-58.181946,144,2249.656449
-77.379389,144,2253.328066
-91.895924,144,2257.032303
-73.305997,144,2260.721208
-53.919601,144,2264.466355
-75.896526,144,2268.124794
-105.696544,144,2271.91713
-77.302869,144,2275.666893
-67.564074,144,2279.367586
-91.512592,144,2283.144739
-48.541794,144,2286.772999
-78.954225,144,2290.520988
-56.19548,144,2294.212522
-50.152659,144,2298.053422
-42.405463,144,2301.754678
-68.56786,144,2305.532479
-56.289563,144,2309.198097
-73.235804,144,2312.916253
-93.794643,144,2316.622725
-74.302218,144,2320.378274
-43.705669,144,2324.025258
-75.453955,144,2327.754254
-85.474061,144,2331.461201
-143.703434,144,2335.301009
-48.445008,144,2338.988578
-89.809048,144,2342.814327
-109.845888,144,2346.615041
-84.313427,144,2350.411673
-84.31816,144,2354.126755
-71.66668,144,2357.815351
-78.057892,144,2361.536598
-38.68746,144,2365.224565
-53.949644,144,2368.926432
-53.832618,144,2372.584131
-61.772185,144,2376.297619
-65.187045,144,2379.980569
-51.108169,144,2383.658246
-63.083409,144,2387.338804
-61.733076,144,2391.015234
-67.440723,144,2394.70695
-48.809,144,2398.361772
-97.36798,144,2402.06452
-80.861762,144,2405.806536
-63.20979,144,2409.466427
-87.705938,144,2413.217619
-79.965253,144,2416.939713
-92.043265,144,2420.668838
-84.478557,144,2424.461394
-63.787148,144,2428.161638
-85.004526,144,2431.86755
-53.279194,144,2435.600663
-43.35407,144,2439.376153
-72.786884,144,2443.174041
-67.851621,144,2446.929852
-68.302739,144,2450.704211
-64.529542,144,2454.502241
-57.706593,144,2458.139707
-93.16607,144,2461.88922
-84.784381,144,2465.603359
-75.81087,144,2469.28992
-101.640119,144,2473.479196
-83.621465,144,2477.594856
-86.157221,144,2481.352365
-73.456365,144,2485.05824
-48.656257,144,2488.777779
-73.298928,144,2492.507736
-102.576994,144,2496.248542
-79.096924,144,2500.025704
-55.213673,144,2503.769944
-75.432523,144,2507.508175
-54.323378,144,2511.275345
-51.275012,144,2514.986154
-74.408182,144,2518.746308
-53.58347,144,2522.514563
-56.419634,144,2526.253276
-52.463365,144,2529.92789
-54.198323,144,2533.638871
-91.908496,144,2537.45631
-74.420365,144,2541.154455
-67.201835,144,2544.817726
-51.576761,144,2548.427007
-67.883397,144,2552.111532
-112.371533,144,2555.856312
-69.630177,144,2559.480325
-51.884048,144,2563.157912
-74.083808,144,2566.856145
-96.516266,144,2570.576575
-76.221124,144,2574.265993
-57.288888,144,2577.971915
-82.024546,144,2581.717973
-52.148325,144,2585.388525
-41.117032,144,2589.015074
-61.801873,144,2592.663713
-65.93559,144,2596.312612
-61.818689,144,2599.996541
-57.506059,144,2603.687134
-58.564237,144,2607.322131
-89.748642,144,2611.001795
-66.684965,144,2614.630856
-68.076222,144,2618.362985
-67.435039,144,2622.055526
-98.186537,144,2625.748427
-108.436996,144,2629.474821
-68.80602,144,2633.17098
-45.767368,144,2636.831886
-74.041778,144,2640.529327
-100.914894,144,2644.3073
-71.9998,144,2648.014485
-58.260285,144,2651.700164
-111.935874,144,2655.452208
-52.536601,144,2659.115714
-53.656302,144,2662.826624
-54.183778,144,2666.511553
-81.296487,144,2670.22179
-47.395432,144,2673.88611
-51.457497,144,2677.558968
-55.557778,144,2681.193455
-64.624604,144,2684.91497
-68.065496,144,2688.629622
-95.189402,144,2692.387676
-51.885884,144,2696.093525
-70.369783,144,2699.807189
-99.509487,144,2703.580023
-91.568625,144,2707.36653
-67.692731,144,2711.077602
-79.452559,144,2714.822018
-100.587203,144,2718.576025
-72.186208,144,2722.398339
-74.210695,144,2726.155906
-90.50879,144,2729.890454
-59.830843,144,2733.698501
-63.442313,144,2737.445365
-60.567889,144,2741.157331
-75.892411,144,2744.899014
-58.415818,144,2748.593863
-75.318572,144,2752.243728
-48.885436,144,2755.913805
-63.094558,144,2759.630966
-76.55667,144,2763.364936
-65.940838,144,2767.081403
-54.883559,144,2770.776637
-79.742939,144,2774.489949
-101.411609,144,2778.221267
-66.98902,144,2781.92041
-54.093587,144,2785.614306
-83.246259,144,2789.35346
-100.420516,144,2793.137627
-62.765341,144,2796.839672
-60.258501,144,2800.525535
-97.805419,144,2804.304672
-52.715404,144,2808.045238
-51.097963,144,2811.752151
-71.544657,144,2815.417271
-75.484937,144,2819.113439
-53.566,144,2822.799579
-61.839836,144,2826.459621
-68.293516,144,2830.126268
-59.29979,144,2833.78435
-75.113636,144,2837.489916
-87.570539,144,2841.253157
-62.958432,144,2844.964565
-68.480686,144,2848.700684
-107.882581,144,2852.417018
-84.421259,144,2856.191726
-62.675808,144,2859.909767
-86.988339,144,2863.634697
-98.334767,144,2867.377611
-71.332209,144,2871.093498
-88.799,144,2874.907603
-81.655094,144,2878.710998
-95.427428,144,2882.590353
-43.988266,144,2886.311394
-62.126523,144,2890.048154
-53.803122,144,2893.799252
-42.379408,144,2897.477957
-78.766782,144,2901.17061
-51.588423,144,2904.780867
-79.130178,144,2908.486766
-66.791497,144,2912.226776
-69.728767,144,2915.983326
-77.63386,144,2919.718898
-69.077375,144,2923.47271
-88.527764,144,2927.185883
-92.328299,144,2930.890234
-51.025925,144,2934.632235
-73.249425,144,2938.33047
-105.20986,144,2942.148392
-100.732529,144,2945.888527
-72.7426,144,2949.630352
-101.207064,144,2953.417608
-71.764861,144,2957.123003
-49.292087,144,2960.764126
-82.362994,144,2964.423147
-63.393579,144,2968.082907
-66.635673,144,2971.757365
-59.899408,144,2975.43983
-44.16028,144,2979.085109
-65.265654,144,2982.808614
-75.158932,144,2986.494918
-69.400935,144,2990.207318
-45.88223,144,2993.865485
-64.505365,144,2997.590769
-114.081395,144,3001.360804
-77.567368,144,3005.088429
-83.72599,144,3008.808086
-76.638673,144,3012.50485
-104.856758,144,3016.28835
-86.630226,144,3020.013409
-65.127481,144,3023.770456
-98.147698,144,3027.569406
-68.852171,144,3031.290856
-52.676902,144,3035.006839
-51.867233,144,3038.661123
-60.012509,144,3042.344671
-43.525498,144,3046.01919
-53.459486,144,3049.689254
-54.331258,144,3053.350319
-71.127394,144,3057.048274
-62.54984,144,3060.738823
-95.922968,144,3064.494346
-58.867307,144,3068.177596
-69.55887,144,3071.903277
-101.179389,144,3075.660921
-90.148188,144,3079.354652
-57.516623,144,3083.007614
-95.994497,144,3086.739613
-106.829271,144,3090.961466
-73.337121,144,3094.706656
-58.997312,144,3098.338573
-72.786854,144,3101.972401
-58.158255,144,3105.66765
-43.000977,144,3109.347061
-65.101117,144,3113.052635
-65.095843,144,3116.724818
-53.037283,144,3120.454135
-54.423923,144,3124.140265
-70.327411,144,3127.815313
-65.401135,144,3131.501882
-85.807396,144,3135.24867
-77.727781,144,3139.20177
-64.136447,144,3143.043572
-80.811403,144,3146.893452
-96.777422,144,3150.719323
-113.630451,144,3154.635828
-68.874192,144,3158.476112
-64.279926,144,3162.24426
-90.441243,144,3166.101466
-85.374461,144,3169.971627
-63.094189,144,3173.816487
-95.675024,144,3177.721979
-68.646424,144,3181.627127
-49.98547,144,3185.390874
-65.612824,144,3189.089375
-52.002724,144,3192.79161
-55.007299,144,3196.539336
-47.028279,144,3200.328539
-52.354756,144,3204.012873
-66.554399,144,3207.751284
-69.662533,144,3211.486585
-82.683423,144,3215.184117
-65.363558,144,3218.891375
-116.689851,144,3222.659249
-80.330389,144,3226.389597
-87.040196,144,3230.130699
-59.519933,144,3233.838245
-70.966329,144,3237.553492
-88.847624,144,3241.305625
-89.779795,144,3245.077033
-60.001486,144,3249.022723
-78.017597,144,3252.783441
-71.046028,144,3256.593716
-66.900755,144,3260.300892
-80.50528,144,3264.039244
-57.74702,144,3267.684031
-54.163149,144,3271.418878
-58.278489,144,3275.123441
-55.314001,144,3278.748629
-82.78555,144,3282.469963
-61.385753,144,3286.134147
-90.484296,144,3289.845171
-73.933965,144,3293.516383
-73.429481,144,3297.23453
-85.581458,144,3300.998142
-88.023337,144,3304.721569
-49.89458,144,3308.425067
-57.286016,144,3312.078459
-126.164028,144,3315.87796
-70.918524,144,3319.546453
-61.568413,144,3323.244234
-75.874138,144,3327.006985
-57.844138,144,3330.726776
-53.701989,144,3334.606231
-72.154729,144,3338.607414
-52.5615,144,3342.414688
-47.488133,144,3346.325011
-61.275786,144,3350.145649
-43.120934,144,3353.865937
-115.828859,144,3357.610613
-56.795198,144,3361.288943
-66.046441,144,3364.998172
-71.11034,144,3368.75782
-54.644819,144,3372.44984
-110.273295,144,3376.239287
-65.967195,144,3379.955198
-60.182855,144,3383.630964
-111.591161,144,3387.362781
-104.891105,144,3391.176967
-84.591751,144,3394.961039
-51.008646,144,3398.622539
-91.602788,144,3402.419017
-50.489228,144,3406.135731
-50.123033,144,3409.848202
-67.866347,144,3413.612083
-42.24011,144,3417.298672
