#{"t_start": 1786077211.5311282, "env_id": "None"}
r,l,t
-7.2,144,2.053762
-7.2,144,2.641325
-7.8,144,3.224152
-6.2,144,3.829404
-4.8,144,4.712316
-6.4,144,5.570971
-7.2,144,6.245362
-8.0,144,7.043396
-6.2,144,7.851169
-6.8,144,8.671208
-6.8,144,9.321892
-7.8,144,10.114708
-6.4,144,10.979229
-6.8,144,11.791552
-5.6,144,12.520939
-6.4,144,13.297312
-7.2,144,14.136724
-6.8,144,14.81091
-6.2,144,15.601992
-6.6,144,16.384503
-6.6,144,17.193838
-6.8,144,17.945383
-6.4,144,18.832214
-6.2,144,19.691888
-6.0,144,20.521377
-6.4,144,21.334871
-7.0,144,22.209497
-7.4,144,23.02431
-6.2,144,23.92611
-6.8,144,24.758327
-6.0,144,25.65191
-5.4,144,26.515547
-6.6,144,27.391321
-7.0,144,28.373967
-7.0,144,29.27225
-6.0,144,29.965608
-6.6,144,30.775926
-6.4,144,31.532036
-6.0,144,32.209547
-7.2,144,32.846601
-5.0,144,33.59739
-6.4,144,34.330633
-6.6,144,34.949798
-7.6,144,36.055706
-6.2,144,36.971112
-6.6,144,37.8204
-6.6,144,38.572237
-6.4,144,39.474432
-7.4,144,40.317633
-5.6,144,41.03346
-5.6,144,41.886329
-7.4,144,42.787316
-6.2,144,43.661814
-6.6,144,44.305814
-7.4,144,45.120519
-6.4,144,45.943421
-6.6,144,46.662623
-5.8,144,47.699238
-6.2,144,48.487198
-5.8,144,49.333715
-6.2,144,49.971137
-5.0,144,50.783291
-5.8,144,51.53515
-6.4,144,52.253755
-6.4,144,52.900849
-7.2,144,53.831531
-6.8,144,54.888596
-6.6,144,55.591546
-6.0,144,56.336849
-5.8,144,57.704636
-7.0,144,58.474929
-6.4,144,59.175954
-6.4,144,60.206963
-6.8,144,60.978065
-5.6,144,61.848213
-6.0,144,62.696981
-6.2,144,63.57171
-6.4,144,64.30191
-6.2,144,64.931128
-6.2,144,65.788907
-6.4,144,66.58098
-6.0,144,67.738472
-6.0,144,68.375851
-6.8,144,69.224675
-6.6,144,70.132794
-6.6,144,70.770032
-6.2,144,71.680944
-6.2,144,72.501387
-5.8,144,73.503478
-6.2,144,74.193771
-5.0,144,75.021432
-5.4,144,75.897686
-6.8,144,76.470132
-6.0,144,77.23258
-6.4,144,78.092175
-4.8,144,78.815714
-6.4,144,79.459629
-6.8,144,80.320237
-7.6,144,81.092432
-5.2,144,81.707938
-5.8,144,82.626145
-4.8,144,83.429884
-6.4,144,84.189743
-5.2,144,84.803693
-6.6,144,85.533601
-5.2,144,86.471503
-6.6,144,87.353486
-6.4,144,88.06087
-6.2,144,89.207502
-5.6,144,90.105281
-6.2,144,90.734967
-6.4,144,91.488101
-6.6,144,92.361869
-5.8,144,93.043766
-6.0,144,93.675823
-6.0,144,94.521187
-5.8,144,95.256711
-6.4,144,95.873793
-7.0,144,96.603492
-7.0,144,97.355242
-7.8,144,98.051554
-7.0,144,98.661923
-5.2,144,99.579617
-6.0,144,100.340867
-6.8,144,100.9316
-5.0,144,101.860127
-6.2,144,102.634101
-7.2,144,103.379164
-5.6,144,104.003865
-6.0,144,104.88194
-7.0,144,105.691048
-6.0,144,106.318651
-6.0,144,106.964523
-6.0,144,107.78063
-5.4,144,108.513587
-5.6,144,109.135997
-6.4,144,110.046931
-6.6,144,110.864924
-6.2,144,111.55748
-6.0,144,112.248489
-6.2,144,113.050828
-5.4,144,113.888753
-6.6,144,114.510156
-5.2,144,115.295935
-6.4,144,116.127998
-6.6,144,116.90695
-6.2,144,117.513179
-6.4,144,118.330712
-5.4,144,119.111705
-5.8,144,119.808757
-6.2,144,120.692289
-5.0,144,121.938038
-6.8,144,122.68892
-6.8,144,123.292002
-4.8,144,124.051346
-6.2,144,124.78016
-5.6,144,125.439426
-5.8,144,126.053581
-5.8,144,126.798257
-6.0,144,127.524883
-7.4,144,128.10737
-5.2,144,128.905572
-5.6,144,129.904018
-6.2,144,130.650362
-6.6,144,131.369412
-4.2,144,132.39304
-5.6,144,133.263739
-5.6,144,133.868086
-5.6,144,134.688989
-6.2,144,135.566865
-7.2,144,136.297897
-5.6,144,136.927776
-5.4,144,137.663286
-5.0,144,138.400964
-6.0,144,138.983055
-5.6,144,139.73414
-6.0,144,140.676708
-4.8,144,141.457142
-5.0,144,142.059768
-4.6,144,142.999368
-6.2,144,143.9658
-5.4,144,144.704421
-4.6,144,145.407187
-6.0,144,146.250458
-6.6,144,146.99791
-6.8,144,147.605912
-6.2,144,148.359471
-6.0,144,149.13548
-6.0,144,149.817587
-5.8,144,150.450602
-5.2,144,151.226487
-5.8,144,151.976801
-6.2,144,152.561957
-5.8,144,153.31111
-6.4,144,154.051956
-7.0,144,154.747692
-5.8,144,155.389203
-6.4,144,156.139432
-5.8,144,157.022263
-4.6,144,158.314969
-6.2,144,159.103166
-6.4,144,159.904564
-5.4,144,160.662715
-4.8,144,161.26298
-5.2,144,162.116449
-5.6,144,163.005372
-6.4,144,163.746238
-5.2,144,164.950125
-7.2,144,165.898012
-4.6,144,166.727706
-5.8,144,167.393111
-7.4,144,168.28269
-5.6,144,169.713354
-5.2,144,170.38843
-5.6,144,171.082357
-6.2,144,171.837967
-4.8,144,172.574225
-4.4,144,173.157504
-5.4,144,173.911851
-5.0,144,174.672826
-5.6,144,175.519196
-5.4,144,176.29104
-5.4,144,177.089682
-4.4,144,177.84997
-6.0,144,178.441347
-5.8,144,179.201979
-6.0,144,179.987476
-6.4,144,180.718454
-6.2,144,181.341701
-6.4,144,182.115482
-7.2,144,182.908132
-6.2,144,183.579123
-5.8,144,184.278334
-5.6,144,185.0302
-5.6,144,185.769945
-5.0,144,186.480956
-6.0,144,187.288062
-7.2,144,188.155015
-5.2,144,188.958329
-6.8,144,190.415696
-4.0,144,191.613439
-5.6,144,192.865797
-6.0,144,193.451724
-5.2,144,194.267946
-5.8,144,195.090207
-5.2,144,196.064358
-6.0,144,196.805079
-5.6,144,197.699572
-5.6,144,198.667135
-5.2,144,199.297551
-5.4,144,200.255773
-5.6,144,201.122119
-5.6,144,202.318849
-6.2,144,202.982975
-6.2,144,203.862389
-5.6,144,204.716702
-5.6,144,205.352337
-4.8,144,206.008829
-4.6,144,206.843485
-4.0,144,207.627189
-4.6,144,208.2487
-5.6,144,208.990825
-5.6,144,209.942939
-5.4,144,210.721778
-5.8,144,211.364298
-6.8,144,212.257573
-5.0,144,213.086006
-5.8,144,213.703604
-5.4,144,214.540138
-5.2,144,215.368598
-5.8,144,216.181302
-6.2,144,217.523717
-5.4,144,218.303297
-5.8,144,219.071343
-5.4,144,219.712294
-5.8,144,220.510035
-6.4,144,221.300191
-5.8,144,222.02882
-6.6,144,222.759243
-4.8,144,223.815906
-6.2,144,224.616818
-6.6,144,225.265137
-5.6,144,225.977516
-5.6,144,226.828513
-5.6,144,227.615423
-5.2,144,228.267706
-6.0,144,229.063067
-5.8,144,229.926608
-6.4,144,230.588027
-4.6,144,231.259734
-4.8,144,232.11243
-5.6,144,233.080049
-4.6,144,233.698184
-5.2,144,234.541514
-5.8,144,235.36417
-5.8,144,236.110915
-5.6,144,236.772536
-4.2,144,237.684865
-5.0,144,238.480583
-3.8,144,239.222509
-6.0,144,240.112767
-6.4,144,240.9484
-5.2,144,241.738319
-5.6,144,242.379019
-4.0,144,243.765697
-5.8,144,244.546472
-6.8,144,245.176146
-5.2,144,245.849928
-6.2,144,246.974677
-5.8,144,248.371979
-4.4,144,248.990515
-4.6,144,249.865878
-5.0,144,250.745891
-4.0,144,251.469059
-5.6,144,252.174237
-6.2,144,253.140838
-5.4,144,254.066017
-4.4,144,254.657094
-5.6,144,255.52681
-6.0,144,256.30951
-4.8,144,257.127657
-5.0,144,257.781991
-6.4,144,258.631831
-5.4,144,259.470201
-4.4,144,260.08447
-5.0,144,260.90773
-4.2,144,261.675753
-5.2,144,262.399505
-5.2,144,263.022337
-4.8,144,263.885985
-5.6,144,264.696583
-4.6,144,265.328053
-6.0,144,266.481761
-4.0,144,267.281583
-6.4,144,268.018396
-4.0,144,268.683934
-5.4,144,269.496597
-6.2,144,270.285415
-5.4,144,270.952619
-4.6,144,272.214181
-4.8,144,272.999631
-5.0,144,273.82769
-3.2,144,274.447161
-5.2,144,275.261068
-4.6,144,276.057925
-5.0,144,276.802129
-5.2,144,277.427791
-6.6,144,278.190388
-5.4,144,279.177016
-5.6,144,279.763899
-5.0,144,280.55815
-5.2,144,281.379728
-5.8,144,282.123807
-4.8,144,282.735811
-5.2,144,283.544407
-4.4,144,284.309391
-5.4,144,284.956412
-5.4,144,285.626708
-7.0,144,286.616153
-4.4,144,287.38712
-5.8,144,288.000223
-4.2,144,288.906662
-4.2,144,289.71174
-4.4,144,290.402953
-4.8,144,291.059605
-4.4,144,291.868693
-5.4,144,292.593083
-5.0,144,293.17678
-7.0,144,293.977316
-5.0,144,295.17029
-4.0,144,295.895375
-5.8,144,296.51014
-4.0,144,297.362818
-6.4,144,298.245652
-4.8,144,298.876531
-5.6,144,299.71846
-4.4,144,300.559818
-5.2,144,301.287509
-5.8,144,301.964094
-5.0,144,302.808173
-4.4,144,303.650824
-6.0,144,304.392271
-4.4,144,305.135079
-5.0,144,305.99502
-4.0,144,306.774368
-6.0,144,307.485319
-3.8,144,308.394885
-5.8,144,309.281394
-4.8,144,309.974173
-3.8,144,311.144287
-4.4,144,312.047418
-5.2,144,312.801696
-4.4,144,313.45423
-4.6,144,314.569045
-4.8,144,315.318574
-4.8,144,316.023309
-4.8,144,316.72292
-4.2,144,317.589495
-5.4,144,318.345383
-4.2,144,318.939451
-5.6,144,320.235042
-4.6,144,321.06686
-5.2,144,321.832687
-4.0,144,322.545144
-5.0,144,323.443763
-5.2,144,324.31211
-5.0,144,325.080665
-5.4,144,326.53773
-4.2,144,327.581819
-4.4,144,328.758021
-3.8,144,330.036544
-5.4,144,331.034798
-5.8,144,332.003094
-3.0,144,332.966551
-4.0,144,333.66368
-6.2,144,334.501321
-3.4,144,335.443355
-4.4,144,336.203823
-4.4,144,337.110152
-4.6,144,338.042775
-5.2,144,338.749621
-6.0,144,339.386115
-4.8,144,340.367179
-4.8,144,341.233775
-5.0,144,341.982392
-4.4,144,342.878932
-3.4,144,343.822963
-4.0,144,344.946701
-5.4,144,345.649376
-3.8,144,346.464075
-5.4,144,347.481341
-2.8,144,348.181774
-5.0,144,349.38278
-5.2,144,350.296346
-3.4,144,351.074166
-4.8,144,351.712133
-5.4,144,352.51577
-5.2,144,353.361587
-5.0,144,354.046459
-3.6,144,354.795338
-4.6,144,355.782027
-4.4,144,356.634165
-5.2,144,357.26769
-3.0,144,358.079031
-5.2,144,358.872096
-5.2,144,359.616318
-5.0,144,360.299176
-5.8,144,361.090562
-4.4,144,361.854251
-4.0,144,362.46768
-2.8,144,363.346426
-5.4,144,364.187316
-3.8,144,364.950143
-3.0,144,365.591075
-4.0,144,366.434664
-5.0,144,367.197377
-3.4,144,367.897608
-5.2,144,369.097015
-4.2,144,369.968155
-5.2,144,370.810392
-4.6,144,371.491833
-4.2,144,372.440146
-3.0,144,373.319902
-3.2,144,374.140876
-5.8,144,374.814001
-3.8,144,375.640152
-3.2,144,376.516821
-2.4,144,377.134432
-4.8,144,378.023388
-4.2,144,378.976142
-5.2,144,379.736048
-4.8,144,380.345861
-4.4,144,381.220778
-3.2,144,382.088314
-3.6,144,382.755598
-3.4,144,383.578672
-4.8,144,384.35575
-3.0,144,385.114704
-4.4,144,385.738545
-3.8,144,386.599363
-3.8,144,387.419424
-3.4,144,388.06853
-4.0,144,388.752692
-5.0,144,389.867536
-4.8,144,390.720144
-3.8,144,392.073508
-3.0,144,393.270871
-4.2,144,394.261099
-4.4,144,395.087542
-4.0,144,396.280096
-3.8,144,397.259885
-2.4,144,398.022709
-4.8,144,399.076168
-6.0,144,399.907395
-5.4,144,400.768575
-3.2,144,401.710257
-5.6,144,402.508738
-4.8,144,403.486324
-4.4,144,404.460094
-3.8,144,405.132004
-5.6,144,406.126532
-4.0,144,407.134501
-5.0,144,408.000735
-4.0,144,408.675528
-4.2,144,409.546748
-3.0,144,411.171598
-5.2,144,411.855894
-4.6,144,412.677819
-4.0,144,413.584059
-5.4,144,414.287487
-4.2,144,414.974755
-4.4,144,415.800517
-3.6,144,416.6143
-3.0,144,417.68888
-4.0,144,418.3386
-2.8,144,419.274752
-3.0,144,420.042168
-3.2,144,420.682381
-3.6,144,421.46038
-3.4,144,422.272328
-2.8,144,422.960141
-2.8,144,424.168338
-4.6,144,424.993531
-5.4,144,425.801636
-4.0,144,426.467527
-3.6,144,427.414616
-5.0,144,428.336127
-3.6,144,429.181061
-4.6,144,430.587935
-4.8,144,431.407872
-3.0,144,432.159458
-3.6,144,432.825743
-4.8,144,433.588731
-4.4,144,434.329728
-5.0,144,435.658519
-3.2,144,436.732881
-4.4,144,437.897136
-3.6,144,439.0648
-4.0,144,440.038533
-3.8,144,441.257881
-4.0,144,442.155155
-2.8,144,442.927866
-4.0,144,443.608765
-4.2,144,445.056919
-4.6,144,445.948988
-4.6,144,446.699324
-3.6,144,447.960164
-3.2,144,448.808403
-5.6,144,450.196068
-3.2,144,451.147251
-5.4,144,452.499512
-3.8,144,453.433999
-3.2,144,454.191145
-4.0,144,454.859758
-4.0,144,455.797611
-5.2,144,457.207958
-2.4,144,458.109415
-3.8,144,459.313834
-2.6,144,460.35494
-4.2,144,461.609467
-3.4,144,462.721786
-4.4,144,463.808847
-3.6,144,465.025645
-3.6,144,465.818937
-3.2,144,466.631413
-4.0,144,467.497218
-3.4,144,468.34203
-3.2,144,469.11788
-4.2,144,470.06847
-3.8,144,471.247353
-4.4,144,472.089506
-3.2,144,474.265664
-3.2,144,476.918289
-3.6,144,478.781814
-3.2,144,480.842462
-4.0,144,483.113268
-3.4,144,484.840299
-3.8,144,486.543976
-4.6,144,488.017386
-3.8,144,489.855467
-3.2,144,491.257681
-3.2,144,492.22343
-4.6,144,493.09589
-2.4,144,494.07488
-4.4,144,495.293537
-3.0,144,496.122331
-2.4,144,497.054207
-3.8,144,498.44951
-3.2,144,499.234321
-3.0,144,500.437158
-3.4,144,501.249542
-4.2,144,502.344853
-4.0,144,503.196183
-4.2,144,504.07097
-2.6,144,504.926931
-3.6,144,505.895448
-3.4,144,506.683553
-2.8,144,507.667239
-2.0,144,508.633597
-3.0,144,509.304132
-3.8,144,510.260067
-2.0,144,511.049231
-4.0,144,511.853594
-3.6,144,512.601513
-4.6,144,513.504845
-4.0,144,514.565784
-3.4,144,515.277935
-3.2,144,516.202076
-2.2,144,517.297255
-3.6,144,518.007793
-3.4,144,518.740223
-3.4,144,519.570794
-3.6,144,520.54968
-2.6,144,521.402171
-4.0,144,522.084332
-3.0,144,523.010187
-3.2,144,524.0272
-3.0,144,524.689313
-3.2,144,525.708138
-3.4,144,526.786111
-3.8,144,527.643617
-2.8,144,528.490992
-4.4,144,529.338118
-3.4,144,530.218915
-3.2,144,530.951085
-2.6,144,531.799882
-2.8,144,532.893935
-2.6,144,533.757924
-4.0,144,534.586189
-2.8,144,535.547714
-4.6,144,536.426875
-1.4,144,537.154207
-4.0,144,537.937417
-4.0,144,538.926744
-4.2,144,540.055763
-2.4,144,540.799645
-2.4,144,541.777065
-3.8,144,542.747078
-4.0,144,544.691176
-5.2,144,545.809126
-3.4,144,547.262048
-3.8,144,548.481366
-3.4,144,549.298492
-4.2,144,550.38383
-4.4,144,551.611457
-3.8,144,552.869013
-3.6,144,554.049664
-4.2,144,555.71647
-3.8,144,556.628438
-2.8,144,557.30985
-3.2,144,558.073737
-1.8,144,558.933535
-3.4,144,559.712266
-3.0,144,560.699527
-4.4,144,561.583561
-3.2,144,562.979814
-2.2,144,563.769758
-3.0,144,564.557224
-3.0,144,565.92239
-3.8,144,566.6728
-3.4,144,567.656597
-3.6,144,568.568839
-2.6,144,569.55882
-3.6,144,570.431073
-4.0,144,571.167574
-3.2,144,572.577478
-2.2,144,573.56196
-2.8,144,574.59676
-3.2,144,575.531489
-4.2,144,576.555262
-2.4,144,577.53545
-3.0,144,578.85495
-2.2,144,580.194153
-3.6,144,581.776139
-3.4,144,582.731648
-3.4,144,583.952031
-3.8,144,585.409518
-4.6,144,586.692066
-3.0,144,587.48247
-1.8,144,588.4346
-2.6,144,589.420953
-3.4,144,591.372832
-2.0,144,592.165159
-2.8,144,593.199172
-2.0,144,594.249371
-2.8,144,595.124177
-3.0,144,596.082892
-3.0,144,597.376412
-2.8,144,598.687844
-4.0,144,599.514678
-2.4,144,601.018208
-2.6,144,602.031087
-2.8,144,602.847208
-3.0,144,603.733781
-2.6,144,604.760043
-3.0,144,605.748664
-2.8,144,606.685394
-2.0,144,607.530385
-1.6,144,608.61812
-3.0,144,609.349122
-2.8,144,610.447084
-3.0,144,611.266071
-2.6,144,612.019547
-3.6,144,612.774318
-2.4,144,613.649366
-3.4,144,614.757025
-2.8,144,615.622974
-3.4,144,616.379225
-2.6,144,617.213782
-3.2,144,618.455797
-2.2,144,619.272226
-3.4,144,620.1016
-3.4,144,620.948527
-3.4,144,621.650489
-1.4,144,622.462083
-2.2,144,623.259423
-2.8,144,624.264353
-2.6,144,625.065129
-2.4,144,625.91432
-3.6,144,626.708253
-2.8,144,627.455273
-4.0,144,628.061103
-2.2,144,628.826841
-2.6,144,629.758651
-3.8,144,630.412402
-2.8,144,631.233704
-2.0,144,632.013455
-2.8,144,632.76472
-4.2,144,633.376092
-3.4,144,634.159054
-1.4,144,634.95409
-2.2,144,635.660022
-3.2,144,636.303383
-3.6,144,637.069969
-3.2,144,637.80911
-2.2,144,638.414155
-2.0,144,639.176916
-2.8,144,639.940636
-2.4,144,640.702206
-2.4,144,641.320464
-2.6,144,642.09641
-2.4,144,642.854134
-3.8,144,643.458978
-2.0,144,644.227996
-2.8,144,644.992528
-3.4,144,645.770706
-3.8,144,646.382277
-3.2,144,647.142256
-2.4,144,647.910802
-2.2,144,648.5269
-2.4,144,649.37206
