#{"t_start": 1786036252.3288164, "env_id": "None"}
r,l,t
-6.9999976,144,2.91758
-5.9999986,144,2.917668
-6.599998,144,4.056336
-6.799998,144,4.056391
-4.7999997,144,6.542417
-5.1999993,144,6.542472
-2.8000004,144,13.855102
-3.4000006,144,13.855154
-2.0000002,144,16.092105
-1.2,144,16.09215
-1.0,144,18.398979
-1.0,144,18.399067
-0.4,144,20.688409
-0.4,144,20.688463
-0.4,144,21.813588
-0.2,144,21.813711
-0.2,144,23.776917
-0.2,144,23.776978
-0.2,144,25.882037
-0.2,144,25.882178
-0.2,144,27.198291
-0.2,144,27.19835
-0.2,144,29.647222
-0.2,144,29.647264
-0.2,144,31.996752
-0.2,144,31.998179
-0.6,144,34.35414
-0.6,144,34.354173
-0.6,144,35.386918
-0.8,144,35.386952
-1.4000001,144,37.697005
-1.0,144,37.69704
-0.6,144,39.849164
-0.6,144,39.849194
-0.4,144,40.99537
-0.6,144,40.995437
