#{"t_start": 1786069824.2959125, "env_id": "None"}
r,l,t
-7.2,144,9.308288
-7.2,144,12.701681
-7.8,144,15.607748
-6.8,144,18.392234
-5.4,144,22.749653
-4.8,144,26.946897
-4.6,144,30.932403
-4.2,144,33.717123
-1.0,144,38.303883
-0.6,144,42.028434
-0.2,144,45.255409
-0.6,144,49.723422
-0.2,144,55.121323
-0.2,144,59.677032
-0.2,144,62.471227
-0.6,144,67.133976
-0.2,144,72.137565
-0.2,144,75.641894
-0.2,144,80.822724
-0.2,144,85.244584
-1.6,144,89.262316
-0.2,144,92.993428
-0.4,144,97.244059
-0.2,144,101.148386
-0.2,144,104.054328
-0.2,144,108.249251
-0.2,144,112.557607
-0.2,144,116.254641
-0.4,144,119.192738
-1.6,144,123.498967
-0.2,144,127.769164
-0.8,144,131.920423
-1.4,144,134.735253
-0.2,144,139.440418
-0.2,144,146.215734
-0.2,144,148.703057
-0.2,144,150.994037
-0.2,144,153.46596
-0.2,144,155.973192
