#{"t_start": 1786517020.2117612, "env_id": "None"}
r,l,t,cleared_count
100.0766,144,2.012536,52
75.3533,144,2.012585,41
78.923294,144,2.674857,42
86.85994,144,2.674904,46
84.81327,144,3.312894,46
99.736595,144,3.312927,52
97.85992,144,3.969708,52
96.736595,144,3.969743,51
94.91325,144,4.637878,50
118.36323,144,4.637913,62
116.57987,144,5.298962,62
88.47995,144,5.298994,47
90.72994,144,6.503012,48
99.01992,144,6.503044,52
98.99326,144,8.528064,52
101.35659,144,8.528101,53
100.35326,144,10.564847,53
110.6199,144,10.564884,58
109.34325,144,12.667391,58
118.06325,144,12.667461,62
117.42322,144,14.016349,62
96.88992,144,14.016422,52
96.06327,144,15.282067,51
105.95659,144,15.282136,56
109.9199,144,16.450169,58
77.163284,144,16.450242,41
78.8433,144,18.330138,41
90.559944,144,18.330178,48
83.559944,144,20.343007,44
87.799934,144,20.343054,46
88.629944,144,22.753097,47
78.606636,144,22.753131,43
80.76329,144,24.809152,43
84.16662,144,24.80919,45
78.61328,144,26.867546,44
85.51326,144,26.867579,46
83.12993,144,29.001566,45
75.57329,144,29.001601,41
76.62995,144,31.1854,41
96.76325,144,31.185436,51
99.15325,144,33.533628,52
78.06663,144,33.533663,41
77.08664,144,35.499105,42
84.57993,144,35.49915,45
88.323265,144,37.695431,46
97.04659,144,37.695469,51
92.899925,144,39.916373,50
98.37325,144,39.916406,52
98.19659,144,42.066253,52
115.803246,144,42.066287,61
115.19324,144,44.227727,60
91.1166,144,44.22776,48
91.793274,144,46.389167,48
97.239944,144,46.38922,51
98.72657,144,48.518507,52
101.29326,144,48.518541,53
98.8666,144,50.697027,52
108.383255,144,50.697061,57
110.613235,144,52.92171,58
118.21657,144,52.921743,62
117.61322,144,55.11659,61
101.33993,144,55.116625,53
99.57658,144,57.268484,53
110.34992,144,57.268517,57
105.66325,144,59.39719,56
70.57328,144,59.397225,38
75.673294,144,61.469685,41
91.47327,144,61.469722,48
89.993286,144,63.610146,47
86.983284,144,63.610179,46
87.24994,144,65.729287,46
74.406624,144,65.729326,40
74.386604,144,67.808497,41
88.27662,144,67.80853,46
84.95994,144,69.91253,45
84.97328,144,69.912564,46
85.703285,144,72.017216,45
76.30329,144,72.01725,41
79.64996,144,74.13428,42
94.75326,144,74.134313,50
95.70657,144,76.263616,51
78.26331,144,76.263649,42
77.38997,144,78.382079,42
86.193275,144,78.38211,46
86.84663,144,80.502544,46
98.89659,144,80.502578,52
97.333275,144,82.66675,52
101.01992,144,82.666784,53
95.39326,144,84.889155,50
117.803246,144,84.889188,62
118.69654,144,87.18435,62
88.91328,144,87.184385,47
90.07995,144,89.32,48
100.946594,144,89.320032,53
94.67326,144,91.451067,50
100.90327,144,91.4511,53
98.61326,144,93.638797,52
107.3332,144,93.63883,58
106.66323,144,95.887044,56
112.853195,144,95.887082,60
118.73657,144,98.103628,62
101.26659,144,98.103662,53
101.47326,144,100.263042,53
