#{"t_start": 1786073861.771441, "env_id": "None"}
r,l,t
-7.2,144,2.049625
-7.2,144,2.682367
-7.8,144,3.473784
-6.2,144,5.045295
-4.8,144,6.541034
-6.4,144,8.195315
-7.2,144,9.492448
-8.0,144,11.211116
-6.2,144,13.527793
-6.8,144,14.776766
-6.8,144,16.359632
-7.8,144,17.301229
-6.4,144,18.192298
-6.8,144,18.957919
-5.6,144,20.237408
-6.4,144,21.128606
-7.2,144,22.023978
-6.8,144,22.747437
-6.2,144,23.592635
-6.6,144,24.558852
-6.6,144,25.372102
-6.8,144,26.096055
-6.4,144,27.015619
-6.2,144,28.080497
-6.0,144,28.80253
-6.4,144,29.795697
-7.0,144,30.722094
-7.4,144,31.524502
-6.2,144,32.295927
-6.8,144,33.337082
-6.0,144,34.507457
-5.4,144,35.664893
-6.6,144,37.13951
-7.0,144,38.191193
-7.0,144,39.009398
-6.0,144,39.710725
-6.6,144,40.597498
-6.4,144,41.796413
-6.0,144,42.645702
-7.2,144,43.319242
-5.0,144,44.380989
-6.4,144,45.164313
-6.6,144,45.882007
-7.6,144,46.951862
-6.2,144,47.843999
-6.6,144,48.581725
-6.6,144,49.240544
-6.4,144,50.079286
-7.4,144,50.90918
-5.6,144,51.677143
-5.6,144,53.081013
-7.4,144,54.00902
-6.2,144,54.729241
-6.6,144,55.573157
-7.4,144,56.602043
-6.4,144,57.722875
-6.6,144,58.827109
-5.8,144,59.515199
-6.2,144,60.457287
-5.8,144,61.239045
-6.2,144,61.91601
-5.0,144,62.987875
-5.8,144,64.116961
-6.4,144,64.945992
-6.4,144,66.15258
-7.2,144,67.221519
-6.8,144,68.444415
-6.6,144,69.199843
-6.0,144,70.086308
-5.8,144,71.209008
-7.0,144,71.99953
-6.4,144,72.753251
-6.4,144,73.738469
-6.8,144,74.512016
-5.6,144,75.112908
-6.0,144,75.880453
-6.2,144,76.619417
-6.4,144,77.362665
-6.2,144,78.192106
-6.2,144,79.138014
-6.4,144,79.880895
-6.0,144,80.677495
-6.0,144,81.907175
-6.8,144,82.78308
-6.6,144,83.74447
-6.6,144,84.39446
-6.2,144,85.341851
-6.2,144,86.402266
-5.8,144,87.13989
-6.2,144,88.332128
-5.0,144,89.193714
-5.4,144,89.98019
-6.8,144,90.643533
-6.0,144,91.548835
-6.4,144,92.462277
-4.8,144,93.374404
-6.4,144,94.034749
-6.8,144,95.267699
-7.6,144,96.014721
-5.2,144,96.814318
-5.8,144,97.820532
-4.8,144,98.746878
-6.4,144,99.836194
-5.2,144,100.442349
-6.6,144,101.255008
-5.2,144,102.021202
-6.6,144,102.726417
-6.4,144,103.906983
-6.2,144,104.694813
-5.6,144,105.506073
-6.2,144,106.154208
-6.4,144,106.952794
-6.6,144,107.902555
-5.8,144,108.576062
-6.0,144,109.839117
-6.0,144,110.810783
-5.8,144,111.78977
-6.4,144,112.370505
-7.0,144,113.186993
-7.0,144,114.067907
-7.8,144,114.966696
-7.0,144,116.305507
-5.2,144,117.344235
-6.0,144,118.22939
-6.8,144,119.501243
-5.0,144,120.674228
-6.2,144,121.884406
-7.2,144,123.144127
-5.6,144,123.846289
-6.0,144,124.752609
-7.0,144,125.812821
-6.0,144,126.52042
-6.0,144,127.84602
-6.0,144,128.758143
-5.4,144,129.546692
-5.6,144,130.232127
-6.4,144,131.167209
-6.6,144,132.011395
-6.2,144,132.71037
-6.0,144,134.035097
-6.2,144,135.092908
-5.4,144,136.101321
-6.6,144,136.782197
-5.2,144,137.828137
-6.4,144,138.946928
-6.6,144,139.827481
-6.2,144,141.06608
-6.4,144,142.096859
-5.4,144,142.961555
-5.8,144,143.671803
-6.2,144,144.756518
-5.0,144,146.724146
-6.8,144,148.209667
-6.8,144,148.857808
-4.8,144,149.763865
-6.2,144,150.642527
-5.6,144,151.317902
-5.8,144,152.064427
-5.8,144,153.112595
-6.0,144,153.882316
-7.4,144,154.632925
-5.2,144,155.544829
-5.6,144,156.407111
-6.2,144,157.084293
-6.6,144,157.838827
-4.2,144,158.74371
-5.6,144,159.954213
-5.6,144,160.592387
-5.6,144,161.93952
-6.2,144,163.342673
-7.2,144,164.06946
-5.6,144,165.271193
-5.4,144,166.143002
-5.0,144,166.943701
-6.0,144,167.587704
-5.6,144,168.479752
-6.0,144,169.339835
-4.8,144,170.096257
-5.0,144,170.756975
-4.6,144,171.729427
-6.2,144,172.505697
-5.4,144,173.159471
-4.6,144,174.297045
-6.0,144,175.071855
-6.6,144,175.841532
-6.8,144,176.655985
-6.2,144,177.553401
-6.0,144,178.711906
-6.0,144,179.792321
-5.8,144,181.197847
-5.2,144,182.202864
-5.8,144,183.069544
-6.2,144,184.038085
-5.8,144,184.962465
-6.4,144,186.500873
-7.0,144,187.259443
-5.8,144,188.072183
-6.4,144,188.903934
-5.8,144,189.975055
-4.6,144,190.576157
-6.2,144,191.527147
-6.4,144,192.336652
-5.4,144,193.088415
-4.8,144,193.749107
-5.2,144,194.590842
-5.6,144,195.436147
-6.4,144,196.151724
-5.2,144,196.798374
-7.2,144,197.657668
-4.6,144,198.436523
-5.8,144,199.100377
-7.4,144,199.981291
-5.6,144,200.775914
-5.2,144,201.545775
-5.6,144,202.709429
-6.2,144,203.527684
-4.8,144,204.285683
-4.4,144,204.902019
-5.4,144,205.723834
-5.0,144,206.49291
-5.6,144,207.20266
-5.4,144,207.797364
-5.4,144,208.691818
-4.4,144,209.4937
-6.0,144,210.132512
-5.8,144,211.043585
-6.0,144,211.984796
-6.4,144,212.735175
-6.2,144,213.429365
-6.4,144,214.291094
-7.2,144,215.175342
-6.2,144,215.890238
-5.8,144,217.080831
-5.6,144,218.282441
-5.6,144,219.428726
-5.0,144,220.138852
-6.0,144,221.61768
-7.2,144,222.805293
-5.2,144,223.837427
-6.8,144,224.631871
-4.0,144,225.453854
-5.6,144,226.252286
-6.0,144,226.949157
-5.2,144,228.383729
-5.8,144,229.526221
-5.2,144,230.277199
-6.0,144,230.950332
-5.6,144,231.92429
-5.6,144,232.880752
-5.2,144,233.609304
-5.4,144,234.507477
-5.6,144,235.361397
-5.6,144,236.111792
-6.2,144,236.787545
-6.2,144,237.75831
-5.6,144,238.652084
-5.6,144,239.375858
-4.8,144,240.269245
-4.6,144,241.258817
-4.0,144,242.107614
-4.6,144,242.719208
-5.6,144,243.554551
-5.6,144,244.379081
-5.4,144,245.081988
-5.8,144,245.806328
-6.8,144,246.561237
-5.0,144,247.323203
-5.8,144,247.938317
-5.4,144,248.711633
-5.2,144,249.517668
-5.8,144,250.393567
-6.2,144,251.143389
-5.4,144,252.562011
-5.8,144,253.528653
-5.4,144,254.449677
-5.8,144,255.352877
-6.4,144,256.541348
-5.8,144,257.342139
-6.6,144,258.005432
-4.8,144,258.870299
-6.2,144,259.770736
-6.6,144,260.446467
-5.6,144,261.622085
-5.6,144,262.601438
-5.6,144,263.510295
-5.2,144,264.178211
-6.0,144,265.131977
-5.8,144,265.996346
-6.4,144,266.686321
-4.6,144,267.880957
-4.8,144,268.712209
-5.6,144,269.744844
-4.6,144,270.377211
-5.2,144,271.298028
-5.8,144,272.218263
-5.8,144,272.953456
-5.6,144,274.116503
-4.2,144,275.145989
-5.0,144,276.009153
-3.8,144,276.629917
-6.0,144,277.511743
-6.4,144,278.740873
-5.2,144,279.870757
-5.6,144,280.539301
-4.0,144,281.60123
-5.8,144,282.595473
-6.8,144,283.421443
-5.2,144,284.076812
-6.2,144,284.987723
-5.8,144,286.386115
-4.4,144,287.176311
-4.6,144,288.061813
-5.0,144,289.112599
-4.0,144,289.80544
-5.6,144,290.694641
-6.2,144,291.907755
-5.4,144,292.8035
-4.4,144,293.464985
-5.6,144,295.322628
-6.0,144,296.589082
-4.8,144,297.496704
-5.0,144,298.296049
-6.4,144,299.17965
-5.4,144,300.125144
-4.4,144,300.833371
-5.0,144,301.738877
-4.2,144,302.720992
-5.2,144,303.546637
-5.2,144,304.304242
-4.8,144,305.289981
-5.6,144,306.273054
-4.6,144,307.046894
-6.0,144,308.282808
-4.0,144,309.106721
-6.4,144,309.907619
-4.0,144,310.685972
-5.4,144,311.578053
-6.2,144,312.561389
-5.4,144,313.373316
-4.6,144,314.09159
-4.8,144,315.082712
-5.0,144,315.909038
-3.2,144,316.696093
-5.2,144,317.810262
-4.6,144,318.670548
-5.0,144,319.435074
-5.2,144,321.184735
-6.6,144,322.258377
-5.4,144,323.065334
-5.6,144,323.77404
-5.0,144,324.675634
-5.2,144,325.460686
-5.8,144,326.22102
-4.8,144,326.850797
-5.2,144,327.73934
-4.4,144,328.64977
-5.4,144,329.369277
-5.4,144,330.11861
-7.0,144,331.193996
-4.4,144,332.293515
-5.8,144,333.276636
-4.2,144,334.107224
-4.2,144,334.997886
-4.4,144,336.20832
-4.8,144,337.751688
-4.4,144,339.373683
-5.4,144,340.272713
-5.0,144,340.952722
-7.0,144,342.105346
-5.0,144,343.109601
-4.0,144,343.94291
-5.8,144,344.724859
-4.0,144,345.933839
-6.4,144,346.859516
-4.8,144,347.592438
-5.6,144,348.62126
-4.4,144,350.108852
-5.2,144,350.891083
-5.8,144,351.535958
-5.0,144,352.761535
-4.4,144,353.927949
-6.0,144,354.731819
-4.4,144,355.624459
-5.0,144,356.533829
-4.0,144,357.935441
-6.0,144,358.819618
-3.8,144,359.930455
-5.8,144,360.854584
-4.8,144,362.029261
-3.8,144,362.788896
-4.4,144,363.913594
-5.2,144,364.68482
-4.4,144,365.596545
-4.6,144,366.379494
-4.8,144,367.151777
-4.8,144,367.835465
-4.8,144,368.759331
-4.2,144,369.64154
-5.4,144,370.417218
-4.2,144,371.235696
-5.6,144,372.602558
-4.6,144,373.999936
-5.2,144,375.630809
-4.0,144,376.369931
-5.0,144,377.806582
-5.2,144,379.095826
-5.0,144,380.297546
-5.4,144,382.048563
-4.2,144,383.070942
-4.4,144,383.926049
-3.8,144,384.61021
-5.4,144,385.520736
-5.8,144,386.704227
-3.0,144,387.418599
-4.0,144,388.777908
-6.2,144,389.73948
-3.4,144,390.719284
-4.4,144,391.640384
-4.4,144,392.561754
-4.6,144,393.668977
-5.2,144,394.49933
-6.0,144,395.375001
-4.8,144,396.674901
-4.8,144,397.54771
-5.0,144,398.245188
-4.4,144,399.167605
-3.4,144,400.063319
-4.0,144,400.819428
-5.4,144,401.742241
-3.8,144,402.597688
-5.4,144,403.627521
-2.8,144,404.614388
-5.0,144,405.841208
-5.2,144,406.684927
-3.4,144,407.441613
-4.8,144,408.070756
-5.4,144,408.826285
-5.2,144,409.574994
-5.0,144,410.260016
-3.6,144,410.903965
-4.6,144,411.788813
-4.4,144,412.588211
-5.2,144,413.238773
-3.0,144,414.122659
-5.2,144,414.96804
-5.2,144,415.720915
-5.0,144,416.889939
-5.8,144,417.811419
-4.4,144,418.808378
-4.0,144,419.415274
-2.8,144,420.212422
-5.4,144,421.029987
-3.8,144,421.769238
-3.0,144,422.561626
-4.0,144,423.51931
-5.0,144,424.417929
-3.4,144,425.059961
-5.2,144,425.747987
-4.2,144,426.579752
-5.2,144,427.366883
-4.6,144,428.052368
-4.2,144,429.138612
-3.0,144,430.169106
-3.2,144,431.16339
-5.8,144,431.854642
-3.8,144,432.907373
-3.2,144,434.072004
-2.4,144,434.713462
-4.8,144,435.851157
-4.2,144,437.847578
-5.2,144,438.622396
-4.8,144,439.352439
-4.4,144,440.464176
-3.2,144,441.338712
-3.6,144,442.379683
-3.4,144,443.287641
-4.8,144,444.046123
-3.0,144,444.797068
-4.4,144,446.184381
-3.8,144,447.048185
-3.8,144,447.907897
-3.4,144,449.130249
-4.0,144,449.89278
-5.0,144,450.904348
-4.8,144,451.753596
-3.8,144,452.543532
-3.0,144,453.333787
-4.2,144,454.126731
-4.4,144,454.823551
-4.0,144,455.498221
-3.8,144,456.272843
-2.4,144,457.009384
-4.8,144,457.690521
-6.0,144,458.505627
-5.4,144,459.945698
-3.2,144,463.00374
-5.6,144,464.258792
-4.8,144,465.596932
-4.4,144,467.280789
-3.8,144,468.492968
-5.6,144,469.74984
-4.0,144,471.176012
-5.0,144,471.970138
-4.0,144,473.234249
-4.2,144,474.53943
-3.0,144,475.29385
-5.2,144,475.959606
-4.6,144,477.961105
-4.0,144,479.712274
-5.4,144,484.107698
-4.2,144,487.762277
-4.4,144,490.960815
-3.6,144,493.029159
-3.0,144,494.976603
-4.0,144,496.892219
-2.8,144,499.237336
-3.0,144,501.143338
-3.2,144,503.239119
-3.6,144,504.384682
-3.4,144,505.624236
-2.8,144,507.250209
-2.8,144,508.458326
-4.6,144,509.798818
-5.4,144,510.728816
-4.0,144,511.657322
-3.6,144,512.89347
-5.0,144,513.775938
-3.6,144,514.646894
-4.6,144,515.618414
-4.8,144,516.813886
-3.0,144,518.660969
-3.6,144,519.489724
-4.8,144,520.365372
-4.4,144,521.321539
-5.0,144,522.210458
-3.2,144,523.818388
-4.4,144,526.317451
-3.6,144,528.114052
-4.0,144,529.833985
-3.8,144,531.932763
-4.0,144,533.700713
-2.8,144,535.366668
-4.0,144,536.405602
-4.2,144,537.449264
-4.6,144,539.142454
-4.6,144,540.074747
-3.6,144,541.51515
-3.2,144,542.686549
-5.6,144,544.764107
