#{"t_start": 1786066078.8082747, "env_id": "None"}
r,l,t
-6.9999976,144,2.837767
-5.9999986,144,2.837817
-6.599998,144,3.921892
-6.799998,144,3.921924
-7.399997,144,5.673229
-5.599999,144,5.673275
-6.1999984,144,6.264091
-6.9999976,144,6.264124
-6.799998,144,9.280933
-5.599999,144,9.280985
-6.599998,144,12.499914
-6.9999976,144,12.499956
-7.399997,144,15.168883
-6.399998,144,15.169035
-6.599998,144,16.154327
-6.9999976,144,16.154402
-5.599999,144,19.726797
-6.9999976,144,19.726836
-6.1999984,144,22.787738
-5.7999988,144,22.787835
-5.9999986,144,24.305519
-7.399997,144,24.305563
-5.7999988,144,27.726395
-4.9999995,144,27.726431
-5.9999986,144,30.334115
-6.1999984,144,30.334175
-7.799997,144,33.787316
-6.1999984,144,33.787384
-6.1999984,144,34.912635
-6.1999984,144,34.912682
-5.9999986,144,37.632728
-6.399998,144,37.632771
-6.1999984,144,40.929591
-6.9999976,144,40.929636
-5.9999986,144,41.97372
-6.399998,144,41.973758
-5.9999986,144,44.613634
-6.1999984,144,44.613688
-7.1999974,144,47.828118
-5.9999986,144,47.828275
-6.599998,144,51.31767
-6.399998,144,51.317708
-5.9999986,144,51.850963
-6.9999976,144,51.85101
-5.9999986,144,55.343659
-6.399998,144,55.343699
-7.399997,144,58.08233
-5.1999993,144,58.082437
-6.399998,144,59.031087
-6.1999984,144,59.031124
-6.9999976,144,61.592579
-6.9999976,144,61.592637
-6.1999984,144,64.862868
-6.1999984,144,64.862902
-7.1999974,144,67.999345
-6.399998,144,67.999381
-6.1999984,144,69.573308
-6.1999984,144,69.573343
-5.9999986,144,72.20568
-6.399998,144,72.205719
-5.9999986,144,75.364551
-7.1999974,144,75.364591
-7.399997,144,78.696254
-5.7999988,144,78.696295
-6.9999976,144,79.732569
-7.399997,144,79.732621
-5.9999986,144,83.267322
-7.1999974,144,83.267363
-6.399998,144,86.301384
-6.799998,144,86.301426
-6.599998,144,87.67436
-6.599998,144,87.674395
-6.399998,144,90.79742
-7.399997,144,90.79746
-6.399998,144,93.78475
-6.599998,144,93.78479
-6.599998,144,96.90661
-6.399998,144,96.906647
-7.399997,144,98.561212
-6.599998,144,98.561251
-8.199997,144,102.311566
-6.399998,144,102.311647
-5.9999986,144,105.946832
-7.1999974,144,105.946875
-6.1999984,144,107.171031
-6.599998,144,107.171695
-6.9999976,144,109.256643
-5.9999986,144,109.2567
-4.9999995,144,112.906815
-5.9999986,144,112.906877
-6.399998,144,117.689327
-6.599998,144,117.689385
-6.399998,144,119.281654
-6.9999976,144,119.281687
-7.599997,144,121.934832
-6.799998,144,121.935009
-6.399998,144,124.817619
-7.1999974,144,124.817656
-6.9999976,144,126.120431
-6.1999984,144,126.120481
-6.1999984,144,129.342477
-6.9999976,144,129.342518
-5.599999,144,132.26496
-6.599998,144,132.264999
-6.9999976,144,135.29793
-5.7999988,144,135.297969
-7.1999974,144,136.377253
-7.599997,144,136.377296
-6.599998,144,138.875583
-6.799998,144,138.876146
-5.9999986,144,142.014184
-7.599997,144,142.01422
-5.7999988,144,145.295883
-5.7999988,144,145.295974
-6.599998,144,146.316069
-6.799998,144,146.316114
-6.599998,144,149.961932
-7.1999974,144,149.961973
-5.399999,144,152.234751
-5.9999986,144,152.234817
-5.7999988,144,152.895823
-5.9999986,144,152.895871
-6.599998,144,154.802188
-6.9999976,144,154.802235
-6.1999984,144,156.831481
-5.9999986,144,156.831517
-7.599997,144,159.501404
-6.799998,144,159.501447
-6.1999984,144,160.576271
-5.9999986,144,160.576355
-7.1999974,144,163.709012
-6.1999984,144,163.709095
-6.599998,144,167.364294
-5.7999988,144,167.364344
-6.399998,144,168.353683
-6.799998,144,168.35372
-5.9999986,144,171.735604
-6.9999976,144,171.735657
-6.599998,144,175.162066
-5.9999986,144,175.162104
-5.399999,144,178.342156
-6.399998,144,178.342198
-5.7999988,144,178.953448
-6.1999984,144,178.953484
-5.9999986,144,180.785467
-6.599998,144,180.785594
-6.399998,144,183.217113
-7.1999974,144,183.217166
-5.9999986,144,183.834903
-6.399998,144,183.834943
-5.7999988,144,185.663347
-5.9999986,144,185.663393
-5.599999,144,187.91195
-5.599999,144,187.911987
-6.399998,144,189.869942
-6.399998,144,189.869984
-5.7999988,144,190.796568
-4.9999995,144,190.796639
-5.9999986,144,192.753971
-6.399998,144,192.754014
-5.9999986,144,195.493092
-5.9999986,144,195.493124
-6.399998,144,197.854358
-6.799998,144,197.854396
-6.399998,144,198.46948
-5.599999,144,198.469529
-6.599998,144,201.083611
-5.599999,144,201.083667
-7.399997,144,203.245655
-6.799998,144,203.245694
-5.7999988,144,204.283132
-5.9999986,144,204.283177
-4.7999997,144,206.653054
-6.9999976,144,206.653093
-7.799997,144,208.555319
-7.399997,144,208.555363
-6.9999976,144,211.558088
-6.1999984,144,211.558141
-6.599998,144,212.223143
-5.399999,144,212.223248
-4.7999997,144,214.446245
-7.1999974,144,214.44629
-5.399999,144,218.162457
-4.6,144,218.162495
-5.9999986,144,220.01019
-4.7999997,144,220.010227
-6.9999976,144,223.68475
-6.599998,144,223.684845
-7.1999974,144,227.351902
-5.599999,144,227.351942
-5.1999993,144,231.273019
-5.399999,144,231.273067
-5.9999986,144,232.851969
-6.9999976,144,232.852017
-5.9999986,144,235.989567
-4.7999997,144,235.990394
-6.799998,144,239.450756
-6.399998,144,239.450874
-6.599998,144,240.863563
-6.599998,144,240.8636
-6.1999984,144,244.658412
-6.9999976,144,244.658458
-6.399998,144,248.382939
-5.599999,144,248.383002
-6.399998,144,251.999468
-5.7999988,144,251.999514
-6.599998,144,253.129112
-5.9999986,144,253.129371
-5.7999988,144,256.559846
-5.399999,144,256.559886
-4.9999995,144,259.854137
-5.9999986,144,259.854175
-5.399999,144,262.395923
-6.1999984,144,262.395962
-6.1999984,144,262.962157
-6.799998,144,262.962192
-6.399998,144,265.462307
-6.599998,144,265.462346
-7.1999974,144,267.16354
-5.7999988,144,267.16366
-5.599999,144,267.859345
-6.399998,144,267.859389
-6.799998,144,269.982977
-6.399998,144,269.983016
-5.599999,144,272.133134
-6.9999976,144,272.133184
-5.9999986,144,274.672951
-5.599999,144,274.672993
-6.9999976,144,275.226974
-5.7999988,144,275.227012
-6.1999984,144,277.473928
-6.1999984,144,277.473966
-5.9999986,144,280.336343
-5.7999988,144,280.336397
-5.7999988,144,281.055201
-6.599998,144,281.055254
-6.399998,144,283.40108
-4.9999995,144,283.401127
-6.399998,144,285.383512
-6.399998,144,285.383551
-6.1999984,144,287.979715
-6.399998,144,287.979754
-4.7999997,144,288.547996
-6.1999984,144,288.54804
-6.399998,144,290.73967
-6.1999984,144,290.739783
-6.1999984,144,293.211973
-5.599999,144,293.212038
-6.799998,144,293.896068
-6.399998,144,293.896103
-6.799998,144,296.024631
-5.9999986,144,296.024668
-6.9999976,144,298.529069
-6.799998,144,298.529118
-5.9999986,144,300.395124
-6.399998,144,300.395212
-5.599999,144,301.074942
-6.399998,144,301.07498
-5.7999988,144,303.703143
-5.599999,144,303.703187
-6.399998,144,307.018455
-6.9999976,144,307.0185
-7.399997,144,309.569277
-5.399999,144,309.569317
-6.9999976,144,310.157662
-6.399998,144,310.157708
-7.1999974,144,313.433485
-5.399999,144,313.43358
-5.1999993,144,315.984936
-6.599998,144,315.984986
-5.7999988,144,316.565183
-5.599999,144,316.565228
-5.1999993,144,319.483804
-6.399998,144,319.483862
-7.399997,144,321.858477
-5.7999988,144,321.858513
-6.399998,144,324.44171
