#{"t_start": 1786775888.2427084, "env_id": "None"}
r,l,t,cleared_count
2081.152621,720,14.556091,1150
2099.593251,720,40.854743,1389
1479.771359,720,76.003709,1084
2060.505935,720,110.321971,1178
1378.461759,720,143.804983,1080
2160.452016,720,181.610589,1148
1254.605959,720,214.714293,974
3096.31079,720,252.048534,2021
2361.79611,720,288.748107,1465
2323.400514,720,325.099133,1466
2155.307535,720,368.455503,1883
1244.723578,720,401.899894,665
2004.137021,720,434.790098,1385
1443.76425,720,468.075332,1083
2845.619801,720,503.929214,1692
2024.833998,720,537.488946,1172
2203.754699,720,573.018531,1454
2872.814645,720,609.8831,1693
1411.04587,720,645.295544,808
2694.092028,720,682.629944,1718
2348.924161,720,717.495251,1467
2094.043062,720,750.293214,1173
2169.731213,720,784.990168,1262
1739.427918,720,820.546921,1015
2468.543342,720,857.657717,1692
2445.536204,720,894.050751,1546
2668.797927,720,929.912326,1694
2258.092362,720,962.56282,1472
1905.546807,720,995.73874,1381
1398.925352,720,1037.3193,1088
1438.982115,720,1096.880588,1372
2285.204855,720,1159.618708,1467
2945.684132,720,1243.024187,2067
2169.981277,720,1303.824867,1149
2596.294035,720,1374.120169,1561
2791.531111,720,1437.160014,1691
2330.856966,720,1492.082347,1469
1575.355252,720,1546.317471,1088
1262.99188,720,1594.308822,668
1183.400479,720,1644.612892,972
2582.763909,720,1701.947018,1563
2147.814273,720,1755.913773,1149
1463.599469,720,1797.757545,807
2159.084006,720,1851.124818,1149
2339.285867,720,1909.468055,1372
1246.756051,720,1940.22544,668
3375.431782,720,1982.911421,2495
1716.79854,720,2024.550718,1868
2948.68217,720,2060.687821,1892
1788.075622,720,2096.640312,1385
2713.541985,720,2138.313274,1891
1994.605391,720,2172.916054,1191
1304.860227,720,2206.290206,1080
2511.437454,720,2240.349168,1372
2315.625399,720,2273.717487,1473
2607.478194,720,2312.876447,2026
3173.422891,720,2349.985282,2000
2384.049743,720,2385.255213,1547
1466.975128,720,2417.270366,1089
2443.666157,720,2449.269674,1368
1223.811356,720,2481.566864,963
2509.904637,720,2518.445143,1696
2178.554334,720,2557.537022,1546
3042.102538,720,2593.928517,1905
1308.74763,720,2627.679125,1084
1633.877627,720,2667.767365,1856
1683.668343,720,2703.840314,1013
2103.636646,720,2738.272776,1174
1988.291807,720,2769.266227,1170
2158.531185,720,2802.468878,1148
2045.539761,720,2835.081663,1175
1238.670192,720,2870.511274,1084
2226.286035,720,2903.87667,1470
1774.719132,720,2948.57063,1941
2485.591775,720,2989.36419,2035
1242.048021,720,3022.285854,666
2104.395949,720,3058.754501,1262
1401.524613,720,3088.782043,808
2603.153066,720,3123.801877,1694
2227.609617,720,3155.534509,1470
2171.020564,720,3186.815451,1152
2149.393955,720,3212.907291,1149
1118.133063,720,3239.836027,961
2450.135379,720,3269.169915,1386
2704.687672,720,3298.599251,1692
1344.167441,720,3324.665017,976
2324.246509,720,3353.86716,1519
2624.719367,720,3382.832966,1559
1242.797888,720,3408.460299,667
2062.360748,720,3434.782009,1173
1207.761011,720,3462.147491,974
2428.65088,720,3491.298784,1385
3340.158048,720,3522.270733,2058
2011.414443,720,3548.349936,1174
1476.371227,720,3574.214528,808
2918.528305,720,3603.237643,1698
2332.999514,720,3629.134694,1357
2044.622556,720,3655.45481,1173
1392.765491,720,3680.876627,800
1241.38479,720,3705.921432,667
3258.729899,720,3733.680958,1863
1250.28376,720,3760.088285,667
2503.953651,720,3790.923552,2040
1984.410941,720,3817.788322,1386
2531.408311,720,3855.327907,1805
1448.428889,720,3888.485341,808
1426.876275,720,3922.15696,1083
2844.276473,720,3958.925157,1899
2148.676782,720,3989.688348,1149
1518.060283,720,4021.156751,1088
2076.790679,720,4051.698528,1174
2488.900135,720,4087.676233,1558
2485.303592,720,4122.95232,1557
3262.751571,720,4156.799348,2062
2034.764855,720,4189.003714,1384
2891.318463,720,4225.941281,2011
1999.81169,720,4258.838427,1172
2479.765521,720,4293.07171,1385
2613.590572,720,4331.753084,2256
1974.272559,720,4363.67994,1170
2668.6058,720,4408.894274,2258
2720.743556,720,4456.982065,1712
2018.851645,720,4500.182712,1171
2025.03575,720,4544.064471,1392
2212.217744,720,4585.851719,1464
2043.056508,720,4629.540725,1386
3132.387432,720,4681.329657,2252
2181.111267,720,4716.525101,1151
2429.730495,720,4761.976288,1554
2206.319959,720,4797.849761,1254
2197.128777,720,4835.579957,1254
1933.467689,720,4869.60347,1172
2625.438434,720,4903.340382,1706
2012.070546,720,4935.810328,1385
2202.359431,720,4972.406291,1261
1370.659008,720,5002.516214,971
1986.395532,720,5017.234328,1384
3004.144939,720,5048.570016,2027
1471.744052,720,5083.623717,1087
1250.934081,720,5119.752571,668
2112.901254,720,5162.558985,1203
2707.631618,720,5199.933431,1705
2624.142306,720,5238.123039,1708
2296.093321,720,5277.289512,1551
1224.93812,720,5308.610391,665
2467.858217,720,5342.530382,1370
2685.874505,720,5386.020882,1812
2332.268161,720,5419.480119,1470
2157.413684,720,5453.111362,1473
2525.399929,720,5495.275109,1566
2042.330686,720,5533.16557,1171
2150.075464,720,5576.306634,1873
1400.782363,720,5609.82114,806
1567.925006,720,5644.488703,1088
2062.763246,720,5688.078617,1873
2060.561538,720,5724.753112,1176
3280.189332,720,5764.413812,2057
2138.642209,720,5797.621497,1147
2222.683406,720,5836.342388,1252
2555.256212,720,5874.006492,1564
2034.10634,720,5906.822247,1176
1233.967169,720,5941.687814,973
2402.630856,720,5983.091726,1466
2486.133249,720,6025.023729,1369
2715.916056,720,6075.233714,1698
3197.890692,720,6124.432411,1858
2321.817257,720,6163.86118,1473
2693.69529,720,6217.363453,2417
2166.001245,720,6250.593382,1153
2349.41227,720,6288.70564,1461
2377.443366,720,6339.016071,1381
1872.140389,720,6386.32831,1202
2125.442958,720,6427.975843,1152
1936.83784,720,6468.756569,1380
2771.989328,720,6508.021308,1697
1916.788426,720,6548.572885,1823
2242.992347,720,6581.0565,1458
2645.457329,720,6620.245724,1814
1266.485705,720,6652.014773,965
3182.389754,720,6689.833998,2018
3146.879315,720,6726.765445,2011
1993.60421,720,6763.239993,1200
2040.296814,720,6798.231778,1205
3347.36826,720,6835.612885,2059
3169.09339,720,6873.429637,2024
2194.156817,720,6908.545374,1259
1604.671859,720,6945.805348,1004
2802.116944,720,6983.670298,2040
2131.743627,720,7015.131208,1153
3135.458606,720,7053.833979,2011
1488.271078,720,7085.956585,808
2242.079838,720,7120.531948,1459
2755.190287,720,7160.051313,1811
2846.684303,720,7204.015882,1809
2999.411135,720,7245.086104,1896
1247.871416,720,7266.454041,665
2307.533333,720,7304.867464,2027
2075.189249,720,7335.189423,1205
2640.385036,720,7367.932612,2249
2053.309388,720,7394.501126,1389
2039.052071,720,7421.00143,1174
1667.349736,720,7450.579569,1016
2201.334088,720,7477.482044,1449
2073.237256,720,7504.097543,1174
2077.421872,720,7531.909283,1457
2141.346494,720,7558.956874,1151
2126.371708,720,7584.485857,1148
3191.266756,720,7618.817916,1997
2445.864479,720,7648.107462,1373
2200.418712,720,7675.940522,1462
2678.671137,720,7704.620216,1696
1514.838624,720,7730.698432,1087
3307.792659,720,7761.008259,1862
1220.973152,720,7787.061916,978
2991.62183,720,7825.987068,2042
2709.498042,720,7861.435319,2250
3319.439835,720,7894.67863,2070
3171.753099,720,7926.425718,2016
2458.458957,720,7955.614475,1548
2021.479151,720,7983.856203,1165
2044.241062,720,8016.948229,1174
1252.323546,720,8043.159271,667
1522.598315,720,8068.895605,808
2091.165117,720,8096.412864,1387
2365.148763,720,8123.19992,1468
1239.687301,720,8148.770516,665
2413.320901,720,8179.617253,1386
