#{"t_start": 1786542059.6409366, "env_id": "None"}
r,l,t,cleared_count
2668.106667,720,22.115231,1349
3179.233333,720,42.002988,1603
2587.656667,720,69.230496,1307
4507.25,720,120.398152,2267
4134.72,720,166.023599,2083
5158.02,720,212.103747,2593
3342.403333,720,257.242392,1684
3284.65,720,302.746996,1655
5612.413333,720,350.233395,2821
4091.923333,720,396.543242,2060
4528.563333,720,443.145307,2277
4180.946667,720,490.561466,2105
5262.103333,720,541.868733,2644
4429.056667,720,589.674048,2230
3817.59,720,634.863176,1924
4562.096667,720,680.570904,2294
3861.403333,720,726.611579,1944
2621.443333,720,771.354251,1327
3443.066667,720,816.620686,1735
3307.763333,720,860.822125,1669
2691.91,720,905.50314,1358
3165.576667,720,951.095334,1595
2582.026667,720,996.593298,1305
4467.61,720,1043.163993,2248
4012.226667,720,1088.679203,2018
5130.086667,720,1135.645694,2580
3261.07,720,1183.107024,1642
3234.1,720,1230.420476,1630
5618.85,720,1277.911854,2824
4074.563333,720,1323.407155,2050
4566.903333,720,1372.29966,2297
4295.136667,720,1419.999014,2161
5421.91,720,1468.018236,2725
4642.453333,720,1516.349537,2336
3795.143333,720,1563.102491,1912
4768.206667,720,1611.778741,2397
3823.136667,720,1661.250441,1925
2669.93,720,1709.87876,1349
3481.566667,720,1759.635428,1753
3395.293333,720,1808.953161,1711
2685.42,720,1859.047427,1358
3176.606667,720,1911.791192,1600
2581.59,720,1963.267726,1304
4385.85,720,2015.068435,2206
4268.136667,720,2065.608933,2147
5097.553333,720,2117.781797,2561
3317.556667,720,2170.540289,1671
3226.676667,720,2221.532694,1626
5627.453333,720,2275.233814,2828
4069.446667,720,2328.079081,2048
4478.973333,720,2381.140531,2252
4256.033333,720,2434.094223,2140
5408.853333,720,2487.611576,2718
4596.48,720,2542.315176,2311
3806.736667,720,2596.054868,1916
4758.746667,720,2649.983828,2392
3849.103333,720,2702.523159,1939
2581.75,720,2755.553484,1304
3469.903333,720,2808.848726,1749
3315.08,720,2862.532567,1670
2686.046667,720,2914.917869,1355
3141.62,720,2968.568938,1585
2583.96,720,3021.733457,1307
4554.113333,720,3077.42722,2293
4094.213333,720,3131.882873,2060
5138.14,720,3186.355811,2581
3305.006667,720,3240.467875,1664
3270.233333,720,3293.549985,1650
5676.706667,720,3348.014669,2852
4115.806667,720,3402.020379,2071
4427.423333,720,3456.73403,2227
4234.34,720,3512.700275,2130
5510.773333,720,3568.504179,2769
4587.386667,720,3624.103029,2306
3779.573333,720,3679.70036,1901
4614.326667,720,3734.827703,2318
3713.083333,720,3786.911352,1870
2639.52,720,3837.580668,1333
3520.643333,720,3890.043814,1772
3342.44,720,3943.162163,1684
2681.686667,720,3996.863424,1354
3180.6,720,4049.256692,1604
2562.026667,720,4103.462222,1293
4370.333333,720,4167.217575,2198
4096.476667,720,4226.350485,2062
5193.966667,720,4284.840875,2611
3314.373333,720,4343.761548,1669
3226.42,720,4405.76257,1624
5631.0,720,4492.957389,2828
4126.536667,720,4557.325541,2077
4502.27,720,4619.966417,2262
4406.366667,720,4701.310253,2215
5487.713333,720,4774.080162,2755
4590.973333,720,4845.819508,2308
3737.043333,720,4912.02105,1881
4498.813333,720,4985.224709,2263
3918.993333,720,5050.340147,1971
2615.83,720,5115.551317,1322
3421.456667,720,5182.135598,1724
3323.173333,720,5249.158814,1674
2655.293333,720,5314.541235,1341
3181.506667,720,5388.533906,1602
2564.496667,720,5448.085515,1295
4448.836667,720,5493.529895,2236
4120.5,720,5547.063923,2073
5094.57,720,5590.071871,2560
3286.793333,720,5636.800942,1656
3288.3,720,5699.719365,1657
5660.54,720,5758.166252,2843
4056.523333,720,5806.094768,2041
4421.036667,720,5850.220356,2223
4277.913333,720,5894.073922,2152
5148.686667,720,5937.78113,2587
4500.606667,720,5992.604927,2262
3740.253333,720,6058.670023,1883
4729.696667,720,6109.495831,2378
3768.686667,720,6150.644315,1895
2623.213333,720,6207.638056,1325
