#{"t_start": 1787032373.4694881, "env_id": "None"}
r,l,t,cleared_count
1367.228626,720,13.889056,747
1722.107434,720,39.134348,1232
1207.555549,720,68.830253,787
1917.21605,720,90.657329,1080
1101.046759,720,112.911511,788
1405.940477,720,132.525124,747
1255.080616,720,151.687322,904
3192.322752,720,173.481558,1977
1820.307972,720,194.544701,1095
1921.823709,720,215.859604,1202
1867.316818,720,246.745513,1915
1215.211919,720,268.257897,660
1603.322965,720,289.753226,1230
1125.14063,720,311.100406,785
2580.961344,720,343.437132,1460
1892.426751,720,364.393528,1080
1911.731829,720,385.684686,1200
2559.623596,720,409.624677,1463
1079.895016,720,429.599515,598
2342.21235,720,453.285542,1379
1706.908896,720,473.987248,1092
1838.902191,720,494.477165,1078
2115.42918,720,517.303451,1161
1060.118694,720,540.041794,628
2409.848012,720,565.602652,1897
2055.868611,720,590.338036,1322
1810.846717,720,617.784623,1852
1784.636229,720,638.70288,1096
1747.769981,720,660.388933,1227
1185.582015,720,681.0778,787
1548.092849,720,702.503781,1228
1795.818546,720,723.42031,1210
3078.484469,720,745.792904,1732
1405.114504,720,763.66856,748
2427.412937,720,784.840491,1415
2573.891662,720,805.966952,1464
1737.322806,720,824.809733,1094
1217.788289,720,843.105443,783
1223.987706,720,861.020304,661
1296.99945,720,882.156584,908
2490.259068,720,907.789655,1412
1405.965279,720,929.295455,748
1133.430738,720,949.594009,598
1408.2987,720,969.003794,748
2135.066067,720,988.745032,1132
1225.402607,720,1010.368779,660
2452.450427,720,1040.815792,2144
2203.275904,720,1068.181186,1989
2623.433658,720,1093.111662,1885
1794.616475,720,1113.894104,1228
2940.272172,720,1139.984218,1894
1680.105155,720,1161.897103,936
1221.737001,720,1181.633012,789
2133.432629,720,1201.112559,1133
1735.48194,720,1221.032324,1094
2109.790634,720,1248.126558,1984
2784.6446,720,1271.852346,1769
2480.137798,720,1294.76926,1414
1204.484527,720,1314.614306,788
2109.645528,720,1334.20209,1132
1076.155384,720,1354.444997,908
2111.397781,720,1380.972357,1905
2031.616183,720,1404.165189,1318
2874.089166,720,1428.430187,1890
1225.903913,720,1448.747838,790
2312.010839,720,1475.764472,1990
1095.374764,720,1498.021592,629
1888.483684,720,1518.049235,1082
1848.451999,720,1538.09176,1083
1406.475607,720,1558.097652,748
1842.986625,720,1578.156255,1079
1173.827931,720,1598.298889,784
1688.96174,720,1618.615525,1091
2422.62407,720,1644.769794,1959
2402.350264,720,1670.758242,1961
1187.755835,720,1690.554161,661
2141.215202,720,1712.538093,1159
1117.466005,720,1731.78247,598
1923.000274,720,1758.412921,1902
1821.68129,720,1777.731491,1095
1400.971894,720,1796.807167,748
1395.175104,720,1816.665042,748
1199.777278,720,1836.855693,906
2057.452632,720,1858.998155,1114
2584.564382,720,1881.563769,1457
1271.47987,720,1901.479176,910
2047.156227,720,1924.477527,1295
2454.989284,720,1947.158626,1414
1211.406782,720,1966.576014,660
1887.506484,720,1987.513518,1081
1304.941538,720,2007.582562,907
