#{"t_start": 1786737065.7150793, "env_id": "None"}
r,l,t,cleared_count
1793.746277,720,13.114262,973
1551.659536,720,33.646193,1289
1213.123816,720,53.10111,784
2411.033311,720,74.084705,1495
1214.956341,720,94.709663,786
1844.784677,720,113.769188,973
1297.718972,720,133.692778,886
2888.870446,720,159.957875,2280
1933.823119,720,181.362034,1490
2062.938554,720,202.190389,1287
2210.000196,720,229.092506,2053
1500.795683,720,248.32589,823
1719.787468,720,270.162102,1290
1210.261913,720,290.875424,778
2766.631961,720,314.717635,1654
2508.220426,720,335.774155,1492
1979.33751,720,356.5239,1293
2736.438876,720,380.600936,1656
1258.294092,720,401.321667,671
2626.820533,720,423.981609,1688
2204.249966,720,444.539872,1517
2458.617439,720,465.578007,1496
2496.789408,720,488.63104,1468
1973.758503,720,511.673336,1186
2707.383542,720,535.28671,1869
2507.139084,720,559.344937,1682
2416.241564,720,588.890828,1870
1852.452518,720,610.450957,1494
1774.231161,720,631.92976,1283
1206.605125,720,652.866153,783
2000.955666,720,672.945931,1288
1870.657244,720,695.511176,1290
3106.48009,720,723.60164,2456
1839.155851,720,747.351194,973
3009.706236,720,771.997334,1857
2769.023764,720,796.215842,1659
1878.591889,720,818.773981,1514
1209.43867,720,839.632809,783
1502.9178,720,860.930799,826
1258.805318,720,882.137895,884
3126.996566,720,905.632294,1849
1844.995518,720,926.19172,973
1244.625392,720,945.815551,671
1844.776903,720,965.668452,973
2185.576616,720,985.751306,1193
1504.869759,720,1006.262256,826
2901.464867,720,1034.003923,2376
2476.926322,720,1059.881779,1946
3087.890769,720,1086.196037,2264
1853.145412,720,1108.299118,1286
3397.413882,720,1133.438288,2246
2499.974299,720,1157.021544,1493
1194.902727,720,1178.129402,785
2206.111606,720,1198.658934,1190
1986.424996,720,1220.111381,1515
2604.987956,720,1246.167118,2045
2387.003211,720,1271.95512,1998
3116.497136,720,1296.97348,1851
1182.318062,720,1318.295903,782
2191.9794,720,1339.238874,1192
1316.934949,720,1360.417065,881
2242.414485,720,1385.369021,1867
2752.290375,720,1409.141432,1681
3217.379106,720,1435.426883,2285
1168.974857,720,1456.639177,781
2613.283193,720,1484.994042,1939
1849.155566,720,1509.30452,1172
2431.994094,720,1530.260636,1492
2487.476437,720,1551.359308,1499
1836.833132,720,1572.354906,970
2364.070351,720,1593.914725,1497
1210.742513,720,1614.086864,781
2151.062217,720,1636.704242,1510
2324.185554,720,1663.609389,2031
2267.014981,720,1690.244689,2057
1443.183669,720,1710.627343,822
2418.842651,720,1733.992192,1467
1237.231868,720,1753.72601,670
2724.304204,720,1778.106991,1871
2057.977497,720,1800.829589,1519
1844.843368,720,1821.719044,973
1840.965075,720,1842.222132,973
1278.80085,720,1862.425097,888
2643.824884,720,1886.947759,1668
2744.93145,720,1910.361763,1654
1298.841324,720,1931.463607,887
2693.203857,720,1955.711643,1683
3048.664824,720,1984.594936,1851
1495.782858,720,2010.637446,826
2485.297276,720,2032.365324,1489
1214.334039,720,2053.226244,881
2875.411411,720,2076.651341,1709
2961.817766,720,2100.749188,1788
2509.834367,720,2121.90779,1491
1281.637811,720,2141.980856,671
2797.526406,720,2165.285499,1655
2192.140469,720,2185.436242,1192
2532.506897,720,2206.40589,1493
1280.837092,720,2226.933031,671
1524.231857,720,2247.197679,824
3437.70459,720,2271.294075,1985
