#{"t_start": 1785466109.2567635, "env_id": "None"}
r,l,t
-29.406299,144,2.326137
-29.805255,144,3.907956
-38.9025,144,5.586621
-30.303201,144,7.195106
-28.060681,144,8.827564
-24.569171,144,10.422832
-26.062588,144,12.008165
-24.828316,144,13.629138
-23.779218,144,15.265309
-27.301543,144,16.897593
-18.96358,144,18.560387
-22.004724,144,20.240604
-23.324736,144,22.076466
-21.244011,144,24.157271
-25.600748,144,25.670787
-20.030573,144,27.097075
-20.397047,144,28.599504
-18.775633,144,30.234862
-17.262123,144,31.586212
-18.580083,144,33.061487
-19.195574,144,34.624148
-18.604979,144,36.001931
-17.471944,144,37.60919
-18.442122,144,39.606357
-19.030113,144,41.760242
-16.649623,144,43.803568
-17.72623,144,45.652946
-18.802024,144,47.56213
-19.795395,144,49.443666
-17.386422,144,51.266875
-21.093638,144,53.055255
-19.035417,144,54.800821
-16.858848,144,56.574549
-18.603684,144,58.406602
-18.906005,144,60.198596
-16.094682,144,61.929793
-18.621496,144,63.727352
-19.620818,144,65.517392
-19.554064,144,67.532894
-22.294766,144,69.654913
-20.373274,144,71.792347
-15.553641,144,73.744062
-21.107556,144,75.656824
-17.323297,144,77.465059
-19.498371,144,79.195304
-18.422672,144,80.920854
-18.855388,144,82.587356
-16.667123,144,84.260628
-16.235232,144,85.880454
-16.947822,144,87.625767
-17.074711,144,89.478537
-18.591928,144,91.410636
-16.245813,144,93.173715
-16.021162,144,94.869255
-16.507865,144,96.52681
-16.994221,144,98.274085
-18.928319,144,99.965658
-19.674472,144,101.630275
-17.677985,144,103.417278
-19.56337,144,105.173396
-21.086816,144,106.991394
-19.03294,144,108.863605
-18.533997,144,110.856822
-18.734739,144,112.694327
-17.076795,144,114.632312
-17.702523,144,116.844495
-16.366244,144,118.757997
-19.516703,144,120.383626
-18.205321,144,122.046395
