#{"t_start": 1785466742.123232, "env_id": "None"}
r,l,t
-29.406299,144,1.269844
-29.805255,144,3.064264
-36.97079,144,5.085726
-29.118612,144,6.815788
-27.539368,144,8.274132
-23.941939,144,9.787302
-26.747765,144,11.212879
-26.725621,144,12.601036
-24.881479,144,13.956209
-27.066668,144,15.424517
-22.508206,144,16.804455
-22.845512,144,18.142561
-20.759686,144,19.619629
-20.354122,144,21.084792
-22.985482,144,22.594485
-20.906101,144,23.99663
-19.32329,144,25.556128
-16.953403,144,26.968678
-17.899042,144,28.876279
-18.22108,144,30.389745
-19.18305,144,31.772607
-17.967032,144,33.286694
-19.007671,144,34.758608
-18.200633,144,36.327145
-16.770515,144,37.862926
-18.221488,144,39.234271
-15.903075,144,40.892114
-17.643134,144,42.516109
-19.561049,144,43.879618
-18.668512,144,45.389967
-18.18564,144,46.823859
-18.349161,144,49.780793
-16.270694,144,53.400425
-17.728863,144,59.901879
-15.69126,144,63.897105
-18.694191,144,67.145243
-17.018416,144,69.395959
-18.209703,144,72.201403
-17.249102,144,76.426056
-17.273929,144,81.155379
-18.852522,144,84.556084
-17.692077,144,87.187024
-15.246558,144,90.710767
-14.283462,144,92.275201
-15.990663,144,93.960677
-16.474072,144,95.939322
-18.892828,144,98.880528
-17.580826,144,102.802117
-17.751123,144,105.531038
-19.022709,144,107.911241
-15.194876,144,110.13428
-15.527331,144,112.476518
-18.664399,144,114.156718
-16.016616,144,115.765178
-17.342708,144,118.793349
-15.681646,144,122.328928
-15.507153,144,124.56892
-17.297002,144,126.708574
-15.109295,144,128.884755
-18.416183,144,130.659226
-17.611884,144,132.054138
-17.014131,144,133.441522
-16.021616,144,134.918135
-18.239263,144,136.284104
-18.718446,144,137.659427
-17.559115,144,139.034864
-17.719614,144,140.532878
-18.719903,144,142.029354
-17.432702,144,143.700177
