#{"t_start": 1785466605.709057, "env_id": "None"}
r,l,t
-29.406299,144,1.030712
-29.805255,144,2.69087
-38.9025,144,4.313797
-30.303201,144,5.995863
-28.060681,144,7.724894
-24.569171,144,9.283105
-25.87412,144,10.904346
-23.595043,144,12.672718
-22.908028,144,14.398256
-27.861596,144,16.113685
-20.835334,144,17.88999
-21.939828,144,19.553862
-31.31482,144,21.16017
-21.293638,144,22.847806
-23.69688,144,24.504095
-21.626577,144,26.157401
-21.995102,144,27.845362
-20.301377,144,29.695241
-18.173998,144,31.861435
-20.104054,144,33.769395
-19.009732,144,35.410284
-17.762226,144,37.175217
-18.594041,144,39.094942
-19.790825,144,40.721072
-20.364651,144,42.46988
-17.726675,144,44.33179
-17.882137,144,48.586492
-18.059971,144,51.306107
-18.966155,144,54.020477
-19.108706,144,56.671419
-19.367255,144,58.993959
-20.328341,144,60.594001
-17.808268,144,62.248165
-17.024012,144,64.019497
-17.149711,144,65.611355
-19.134621,144,67.239273
-17.418476,144,68.825935
-21.298124,144,70.662011
-19.628371,144,72.502756
-19.647099,144,74.187998
-18.264406,144,76.165475
-17.889837,144,77.976606
-16.400277,144,79.726605
-18.752806,144,81.497164
-17.064146,144,83.420332
-17.245171,144,85.117242
-18.884241,144,86.816347
-17.237167,144,88.739678
-16.462093,144,91.677135
-18.760001,144,94.513514
-17.953967,144,97.140773
-17.605842,144,99.944434
-17.014012,144,102.510239
-16.85195,144,104.205911
-16.644563,144,105.88142
-16.062361,144,107.676907
-16.383446,144,109.404722
-17.904338,144,111.127533
-19.118817,144,112.801176
-19.986198,144,114.473429
-17.239622,144,116.102062
-16.920232,144,117.72847
-18.606556,144,119.587952
-19.243742,144,121.481644
-17.830395,144,123.390247
-15.457808,144,125.210458
-18.80794,144,127.243156
-17.326988,144,129.222797
-17.955515,144,130.786642
