#{"t_start": 1785466236.9293585, "env_id": "None"}
r,l,t
-29.406299,144,1.037664
-30.915788,144,2.693294
-40.001231,144,4.340967
-30.548061,144,5.953061
-32.319678,144,7.624802
-24.180207,144,9.245395
-27.093092,144,10.862604
-25.768672,144,12.541053
-21.326868,144,14.163152
-27.803417,144,15.814666
-24.677534,144,17.555872
-19.565797,144,19.219249
-18.706459,144,20.92258
-18.973402,144,22.780074
-22.195349,144,24.518648
-21.042917,144,26.195928
-21.202656,144,28.086503
-18.013878,144,29.734844
-18.667702,144,31.506437
-18.039221,144,33.211905
-19.15849,144,34.877141
-17.610917,144,36.581816
-17.456185,144,38.422615
-17.456185,144,40.098373
-18.057271,144,41.726837
-18.235411,144,43.587926
-17.897852,144,45.250917
-17.647405,144,46.912367
-18.382985,144,48.579905
-17.46928,144,50.23953
-18.247792,144,51.890465
-18.316601,144,53.521411
-18.666795,144,55.161231
-18.608506,144,56.784162
-18.868566,144,58.413922
-18.430649,144,60.043573
-19.985692,144,61.689448
-18.819793,144,63.329469
-19.43849,144,64.961086
-18.834823,144,66.582715
-19.794115,144,68.221168
-18.798476,144,69.957559
-17.662093,144,71.60676
-18.756437,144,73.243705
-16.9194,144,74.896589
-17.456185,144,76.513631
-19.121831,144,78.146647
-18.048521,144,79.786837
-17.597241,144,81.399475
-18.605381,144,83.039909
-18.721498,144,84.670552
-17.89803,144,86.304202
-16.660099,144,87.923995
-17.647621,144,89.539843
-20.18285,144,91.180665
-17.604012,144,92.81219
-17.951467,144,94.440545
-20.654962,144,96.078491
-17.292435,144,97.745352
-18.669994,144,99.415972
-18.020471,144,101.029334
-18.592568,144,102.705268
-18.274429,144,104.425649
-21.017581,144,106.056588
-18.06175,144,107.695074
-17.460352,144,109.323079
-18.782166,144,111.048233
-19.996644,144,112.72092
-20.854398,144,114.353818
