#{"t_start": 1785466477.5969527, "env_id": "None"}
r,l,t
-29.406299,144,1.072778
-29.763541,144,2.849013
-39.452527,144,4.532697
-31.068617,144,6.097815
-27.860991,144,7.735818
-25.433278,144,9.31483
-24.809061,144,10.911064
-23.604166,144,12.565226
-20.688177,144,14.164127
-26.921507,144,15.77226
-22.087538,144,17.443859
-20.836094,144,19.058743
-21.24796,144,20.659427
-22.150647,144,22.331073
-21.880437,144,23.946771
-23.022081,144,25.582417
-21.320559,144,27.237518
-20.001467,144,28.855987
-17.298894,144,30.52369
-18.345231,144,32.107274
-16.037569,144,33.741608
-16.478269,144,35.56928
-18.914651,144,37.223759
-16.297361,144,38.9204
-16.323818,144,40.81578
-18.562537,144,42.873636
-18.645752,144,44.658275
-22.141806,144,46.104235
-18.884743,144,47.432694
-17.95689,144,49.066131
-18.934472,144,51.087089
-17.037829,144,55.500368
-17.02742,144,60.675734
-16.085426,144,63.680137
-16.002926,144,66.538456
-22.146362,144,69.036133
-16.015754,144,71.117928
-17.829196,144,72.830062
-17.811347,144,74.62978
-17.507234,144,76.219269
-19.051169,144,77.907017
-17.830799,144,79.590191
-16.220567,144,81.158404
-15.610665,144,82.773133
-18.075811,144,84.428476
-16.278641,144,86.235754
-19.497723,144,87.979043
-15.913373,144,89.681807
-17.410932,144,91.477747
-17.026027,144,93.070552
-15.927004,144,94.698487
-18.539071,144,96.258827
-16.407911,144,97.861101
-17.13742,144,99.461359
-19.690006,144,101.014624
-16.297003,144,102.631596
-16.880456,144,104.231081
-19.850721,144,105.832421
-16.8737,144,107.636477
-20.116182,144,109.302
-18.858732,144,110.869539
-16.996825,144,112.517336
-18.539948,144,114.080694
-21.641091,144,115.706739
-19.462268,144,117.546997
-16.42367,144,119.145558
-17.486809,144,120.75138
-18.6866,144,122.351729
-18.228059,144,123.895728
